"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.942833330E-3,-7.636644906E-1,-4.533217657E-1,-2.112518324E0,2.291597204E0
1.497683336E-2,-1.356850485E0,-7.316275960E-1,-2.382640391E0,2.837833225E0
2.501083328E-2,-1.239016811E0,-5.986917329E-1,-2.245814960E0,2.633871539E0
3.504583333E-2,-7.442990971E-1,-2.202669525E-1,-1.795868207E0,1.956435865E0
4.507983336E-2,-3.787130481E-1,8.980738521E-3,-1.348346295E0,1.400550591E0
5.511483329E-2,-2.978407931E-1,-5.641276717E-2,-9.581902456E-1,1.004997555E0
6.514883332E-2,-2.102977422E-1,-2.948060882E-1,-7.666734678E-1,8.478938472E-1
7.518383325E-2,-1.226839399E-1,-6.615586567E-1,-6.417202234E-1,9.297935526E-1
8.521783329E-2,4.576943135E-1,-1.057643198E0,-7.495656842E-1,1.374751590E0
9.525183332E-2,6.435004082E-1,-1.096144189E0,-5.810161847E-1,1.397570988E0
1.052868334E-1,7.093368405E-1,-1.167561496E0,-2.211463737E-1,1.383930750E0
1.153208333E-1,1.230776330E0,-1.011509836E0,-1.920634925E-1,1.604634197E0
1.253558333E-1,1.412489081E0,-8.692166734E-1,-3.424731749E-1,1.693502555E0
1.353898334E-1,1.192000811E0,-9.499696451E-1,-8.173191261E-1,1.729542950E0
1.454248333E-1,1.759492679E0,-5.680605090E-1,-6.598395753E-1,1.963134100E0
1.554588333E-1,8.316319406E-1,-6.362419671E-1,-1.067508620E-1,1.052526138E0
1.654928334E-1,4.179192138E-1,-4.533457392E-1,-1.954303193E-1,6.468166960E-1
1.755278333E-1,2.950200963E-1,-3.507823607E-1,-9.107447684E-2,4.673111192E-1
1.855618333E-1,6.970698206E-1,-3.131572822E-1,-1.272202098E-1,7.746991674E-1
1.955968334E-1,1.112882575E0,-4.182963592E-1,-2.677007353E-1,1.218664496E0
2.056308333E-1,1.106783637E0,-5.918531218E-1,-6.784278738E-1,1.426718093E0
2.156658333E-1,1.071532235E0,-6.953845069E-1,-1.138797289E0,1.711315344E0
2.256998334E-1,8.167136469E-1,-6.117193294E-1,-1.339390699E0,1.683801997E0
2.357338333E-1,3.538642819E-1,-4.580682430E-1,-1.379302039E0,1.495834403E0
2.457688333E-1,-1.789868525E-1,-2.123416364E-3,-1.186282527E0,1.199711230E0
2.558028334E-1,-2.198431025E0,6.020573902E-1,-2.260632389E0,3.210300745E0
2.658378333E-1,-4.139037846E0,1.549959460E0,-4.058430178E0,6.000405330E0
2.758718333E-1,-3.606166173E0,2.666002601E0,-3.007849832E0,5.399922680E0
2.859068334E-1,-3.433634427E0,2.436574231E0,-1.600087640E0,4.504111435E0
2.959408333E-1,-6.378068282E-1,1.473859410E0,7.505170262E-1,1.772663227E0
3.059758333E-1,1.840165251E0,-1.882803440E-4,1.905734466E0,2.649156855E0
3.160098334E-1,2.457796408E0,-1.465129809E0,1.483910481E0,3.223252838E0
3.260438333E-1,1.438909871E0,-1.281248033E0,1.230481045E0,2.286075621E0
3.360788333E-1,-2.717033737E-1,-5.307231134E-1,2.733466313E0,2.797736198E0
3.461128334E-1,-1.230680728E0,7.956686407E-2,4.245839871E0,4.421319051E0
3.561478333E-1,-4.406481450E-1,6.572211921E-2,2.970315970E0,3.003542433E0
3.661818333E-1,9.438739959E-1,-2.443536803E-1,1.540011007E0,1.822701496E0
3.762168334E-1,9.541028957E-1,-2.159455678E-1,2.089412466E0,2.307073748E0
3.862508333E-1,-3.545298412E-2,-6.389427960E-2,1.712815526E0,1.714373477E0
3.962848333E-1,-6.008962428E-1,-1.560016671E-1,1.246253909E0,1.392322384E0
4.063198334E-1,-4.026379177E-1,-3.185501692E-1,9.266222978E-1,1.059349039E0
4.163538333E-1,2.146808150E-1,-3.414276928E-2,3.246719116E-1,3.907242394E-1
4.263888333E-1,5.688058097E-1,1.015604056E0,-2.791454905E-1,1.197043797E0
4.364229583E-1,4.787554727E-1,1.755016050E0,-9.102249509E-1,2.034157713E0
4.464579583E-1,3.447196752E-1,2.271937981E0,-1.189756358E0,2.587673479E0
4.564919583E-1,1.298896831E-1,2.503971870E0,-1.401545432E0,2.872468634E0
4.665259583E-1,-3.067939036E-2,2.651637454E0,-1.135036944E0,2.884515779E0
4.765609583E-1,-2.966914864E-1,2.818445068E0,-5.044609290E-1,2.878565488E0
