"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.953958301E-3,3.857042715E-1,-1.491949233E-1,4.528639287E-1,6.132802362E-1
1.198895829E-2,-2.027408007E-1,-4.226656911E-1,1.128220260E-1,4.821606871E-1
2.202395833E-2,-6.929503110E-1,-6.694032812E-1,-7.467461568E-1,1.218979372E0
3.205895831E-2,-6.773107633E-1,-6.856643879E-1,-9.478576308E-1,1.351783863E0
4.209395830E-2,-4.018746002E-1,-2.976598218E-1,-7.066991615E-1,8.657530068E-1
5.212795833E-2,1.075756118E-2,1.237270832E-3,-4.437715083E-1,4.439036017E-1
6.216295832E-2,2.500833669E-1,2.049735600E-1,-9.720352829E-2,3.376453415E-1
7.219795830E-2,3.831522542E-1,2.034170312E-1,6.164368629E-2,4.381598824E-1
8.223295829E-2,1.311293659E-1,4.773725331E-2,2.680422127E-2,1.420993393E-1
9.226695832E-2,-6.630903348E-2,-4.967969835E-2,-3.090037125E-1,3.199191378E-1
1.023019583E-1,2.640894949E-2,-4.782145321E-3,-5.635160530E-1,5.641548045E-1
1.123369583E-1,6.682753533E-2,-3.983091143E-1,-5.436863905E-1,6.772820396E-1
1.223719583E-1,-1.727796677E-1,-3.931825680E-1,-4.957292819E-1,6.558908951E-1
1.324069583E-1,-2.552561063E-1,-1.674388209E-1,-6.578936219E-1,7.252692302E-1
1.424409583E-1,-2.006656238E-1,-7.333227038E-2,-6.371231425E-1,6.719897419E-1
1.524759583E-1,2.276715741E-2,1.958144814E-2,-2.409836376E-1,2.428474627E-1
1.625109583E-1,3.411426410E-1,5.643945971E-1,3.583471960E-1,7.505546453E-1
1.725459583E-1,5.000018424E-1,6.566218525E-1,6.244025248E-1,1.034907055E0
1.825799583E-1,4.198308147E-1,1.601017347E-1,9.815609819E-1,1.079514909E0
1.926149583E-1,5.362444930E-1,2.351349601E-1,7.790754122E-1,9.745794496E-1
2.026499583E-1,-3.038023219E-2,1.828064731E-1,2.273736584E-1,2.933256648E-1
2.126853333E-1,-3.531585230E-1,-3.761434892E-1,-3.788995743E-2,5.173398455E-1
2.227193333E-1,-1.950156055E-1,-4.588883150E-1,-3.624788386E-1,6.164417900E-1
2.327543333E-1,-1.934431431E-1,-3.186878711E-2,-6.074491078E-1,6.383026615E-1
2.427893333E-1,-1.900769010E-2,7.689790249E-2,-4.190477264E-1,4.264687288E-1
2.528243333E-1,1.202548604E-1,9.462315202E-2,-2.625692189E-2,1.552552681E-1
2.628593333E-1,9.830163538E-2,2.212030917E-2,1.745779788E-1,2.015688227E-1
2.728933333E-1,-5.429139733E-3,-1.078045303E-1,2.307235283E-1,2.547246333E-1
2.829283333E-1,-5.509845927E-2,-1.424448976E-1,3.404588091E-1,3.731468743E-1
2.929633333E-1,1.359897177E-1,-1.255192548E-2,6.499881864E-1,6.641802440E-1
3.029983333E-1,3.731808512E-1,7.687919140E-3,5.465871942E-1,6.618765842E-1
3.130323333E-1,5.815406799E-2,-1.626929283E-1,-9.628317654E-2,1.977911389E-1
3.230673333E-1,-1.998234786E-1,-1.912127227E-2,-2.139858735E-1,2.934024535E-1
3.331023333E-1,-3.536249846E-2,1.711526799E-1,-2.367853367E-1,2.942975396E-1
3.431373333E-1,2.131269175E-1,4.031444693E-1,-2.300201082E-1,5.107423971E-1
