"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.245479164E-2,2.893858289E-2,-3.333176047E-2,-1.524860287E-1,1.587464544E-1
3.248979163E-2,5.474885060E-2,-1.151886865E-2,-3.962161034E-1,4.001466251E-1
4.252379166E-2,-9.970082841E-2,6.910436802E-2,-3.696966416E-1,3.890903181E-1
5.255779164E-2,-1.904154548E-1,1.553735299E-1,-2.281747270E-1,3.353545665E-1
6.259279163E-2,-1.532578246E-1,8.504285462E-2,-2.118346828E-1,2.749439593E-1
7.262679166E-2,-7.920861248E-2,2.363057189E-2,-1.546763957E-1,1.753772950E-1
8.266179165E-2,-9.292738639E-2,4.586460941E-2,-1.253491008E-1,1.626390439E-1
9.269579162E-2,-9.666704625E-2,6.110501155E-2,-7.942389965E-2,1.392353982E-1
1.027297917E-1,-5.629440217E-2,2.445159405E-2,4.421664476E-3,6.153447232E-2
1.127647916E-1,-2.367976159E-2,-6.767128855E-3,2.178204775E-2,3.287830205E-2
1.227987916E-1,8.534047790E-3,-2.505473435E-2,1.664146811E-1,1.685064265E-1
1.328337917E-1,1.282330938E-2,-2.067312330E-2,1.935118479E-1,1.950349983E-1
1.428677916E-1,2.000960137E-2,-5.771128759E-3,6.236991048E-2,6.575481585E-2
1.529017917E-1,8.876000270E-2,-4.064107239E-2,9.518331528E-2,1.363447775E-1
1.629367917E-1,1.279634914E-1,-5.444254786E-2,1.893480456E-1,2.349283476E-1
1.729707916E-1,9.473461457E-2,-2.924791887E-2,2.105640829E-1,2.327387397E-1
1.830057916E-1,5.824923143E-2,1.715156458E-2,1.177693552E-1,1.325019628E-1
1.930397917E-1,5.301428778E-2,5.037741736E-3,-3.486694694E-2,6.365216052E-2
2.030737916E-1,6.342767179E-2,-1.848268323E-2,-1.511388302E-2,6.777247662E-2
2.131087916E-1,4.329329632E-2,-9.618377388E-3,3.348641932E-2,5.557124228E-2
2.231427917E-1,-2.703460157E-3,1.463996619E-2,-1.219553769E-2,1.924495898E-2
2.331777916E-1,-2.234272264E-2,1.209364995E-2,-8.374031425E-2,8.750939295E-2
2.432117917E-1,-4.289130025E-2,4.126380086E-3,-1.949397379E-1,1.996451654E-1
2.532457917E-1,-5.747454844E-2,9.808704257E-3,-1.546465749E-1,1.652727973E-1
2.632807916E-1,-6.758884281E-2,2.494056746E-3,-1.032647520E-1,1.234426223E-1
2.733147917E-1,-6.409652017E-2,1.997555047E-3,-1.140025789E-1,1.308011548E-1
2.833497917E-1,-5.335405212E-2,6.827939898E-3,-1.334428167E-1,1.438758527E-1
2.933837916E-1,-2.949291721E-2,1.364045776E-2,-1.011632627E-1,1.062539410E-1
3.034177917E-1,-2.377042998E-2,1.498736389E-2,-5.327924430E-2,6.023563971E-2
3.134527917E-1,-1.021161853E-2,1.963750832E-2,3.274967015E-2,3.952783552E-2
3.234867916E-1,-5.640100422E-2,4.021466419E-2,5.166658223E-2,8.641601826E-2
3.335217917E-1,4.319630563E-3,3.754723750E-2,7.585242033E-2,8.474694049E-2
3.435557917E-1,4.447680018E-2,1.877804071E-2,-1.299836040E-2,4.999757934E-2
3.535897916E-1,6.330311696E-2,-1.676754870E-2,7.181784153E-2,9.719175720E-2
3.636247917E-1,2.766160581E-2,-7.790610865E-3,1.511932093E-1,1.539001124E-1
3.736587917E-1,-2.325254939E-3,1.941370614E-2,9.812388003E-2,1.000529591E-1
3.836937916E-1,3.013003988E-2,2.006296635E-2,5.028488517E-2,6.195895091E-2
3.937277917E-1,2.782591257E-2,2.377843335E-3,1.433561862E-2,3.139180642E-2
4.037617916E-1,2.606228270E-2,1.762862429E-2,8.386778355E-2,8.957575615E-2
4.137965833E-1,7.733673602E-3,3.284497976E-2,6.989878535E-2,7.761728285E-2
4.238305833E-1,-1.692038029E-4,2.387725130E-2,-2.510969818E-2,3.465037809E-2
4.338655833E-1,1.958784353E-2,1.890638709E-2,-5.594148159E-2,6.221402133E-2
