"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.802166696E-3,-3.019267178E-1,9.019403234E-2,-7.242039710E-1,7.897886414E-1
1.683616661E-2,-2.310174788E-1,3.586986136E-1,-4.758446556E-1,6.391102465E-1
2.687116666E-2,-2.301063364E-1,3.436984590E-1,-1.513838285E-1,4.404482039E-1
3.690616670E-2,-3.058193737E-1,2.410217907E-1,1.919325149E-1,4.341141361E-1
4.694016662E-2,-1.873975972E-1,2.034771844E-1,4.277717721E-1,5.094207623E-1
5.697516666E-2,2.680423955E-2,1.714127348E-1,2.721539748E-1,3.227515746E-1
6.700916670E-2,1.616812869E-1,1.351502768E-1,-1.052376026E-1,2.355448765E-1
7.704416662E-2,1.009432612E-1,5.276644349E-2,-4.397609031E-1,4.542724859E-1
8.707916667E-2,-4.178498877E-2,-4.040309072E-2,-4.458917087E-1,4.496641090E-1
9.711291664E-2,-1.312684748E-1,-9.048522368E-2,-3.407476616E-1,3.762020163E-1
1.071479167E-1,-9.009939881E-2,-8.983479403E-2,-2.669347501E-1,2.957065314E-1
1.171819166E-1,6.616782323E-3,-8.079280593E-2,-1.520790625E-1,1.723348500E-1
1.272169166E-1,8.310837641E-2,-8.311853595E-2,-3.724734843E-2,1.233006821E-1
1.372519167E-1,1.471756422E-1,-1.384665252E-1,6.024854064E-2,2.108637828E-1
1.472859166E-1,2.236605120E-1,-1.957962819E-1,1.834821188E-1,3.493220528E-1
1.573209167E-1,2.173066534E-1,-2.400714719E-1,2.481991017E-1,4.079942246E-1
1.673549167E-1,1.786931030E-1,-2.183665343E-1,2.225918055E-1,3.593915417E-1
1.773899166E-1,1.250186235E-1,-1.154561967E-1,1.006925619E-1,1.977341184E-1
1.874249167E-1,5.171608256E-2,-6.018977612E-2,-3.873721898E-2,8.830591418E-2
1.974589167E-1,-1.700722972E-2,-5.354353845E-2,-1.371166223E-1,1.481793659E-1
2.074939166E-1,-8.795875143E-3,-3.416286908E-2,-1.438765883E-1,1.481382520E-1
