"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.717291650E-3,-2.517716043E-1,1.108965379E-1,-3.536349249E-1,4.480453581E-1
1.775129169E-2,-1.816075015E-1,-6.689214706E-2,-2.650075078E-1,3.281536578E-1
2.778529166E-2,-7.782424763E-2,-6.770783365E-2,-1.931586760E-1,2.189777121E-1
3.782029165E-2,9.786777198E-3,1.202392191E-1,-1.837920213E-1,2.198471239E-1
4.785429168E-2,8.215294138E-2,3.505668908E-1,-2.666751337E-1,4.480645910E-1
5.788929167E-2,6.386825949E-2,4.989595762E-1,-3.860957426E-1,6.341212311E-1
6.792329164E-2,6.088720277E-2,6.108761609E-1,-4.413139236E-1,7.560654168E-1
7.795729168E-2,1.231337370E-1,7.841984501E-1,-5.009227788E-1,9.386441055E-1
8.799229166E-2,1.353922784E-1,9.080837005E-1,-5.693416339E-1,1.080322624E0
9.802629170E-2,1.086459446E-1,1.039940752E0,-6.267057431E-1,1.219032731E0
1.080602917E-1,-4.416811287E-2,1.067693977E0,-7.832403839E-1,1.324910091E0
1.180952917E-1,-2.769314423E-2,1.088921416E0,-1.053682294E0,1.515507551E0
1.281292917E-1,-4.148292527E-2,9.851932722E-1,-1.478905265E0,1.777494697E0
1.381642917E-1,-2.054346129E-2,9.710880339E-1,-1.318660566E0,1.637772784E0
1.481982917E-1,-1.963698207E-1,1.248851827E0,-1.221634793E0,1.758005563E0
1.582322917E-1,-1.512796019E-1,2.077665702E0,-1.723532887E0,2.703728149E0
1.682672917E-1,-3.435341522E-2,2.597434350E0,-1.737353951E0,3.125099056E0
1.783012917E-1,-4.137444480E-1,2.792354792E0,-1.158136954E0,3.051181895E0
1.883362917E-1,-2.826827636E-1,3.011145030E0,-8.948608071E-1,3.153994261E0
1.983702917E-1,-4.009859696E-2,3.246477334E0,-8.240311450E-1,3.349664207E0
2.084042917E-1,2.824175924E-2,3.335322852E0,-8.401548421E-1,3.439627346E0
2.184392917E-1,6.384837896E-2,3.286198639E0,-9.370151389E-1,3.417773468E0
2.284732917E-1,1.099276543E-1,3.239258654E0,-1.167289601E0,3.444915924E0
2.385082917E-1,2.164933057E-1,3.215285069E0,-1.354754843E0,3.495752868E0
2.485422917E-1,3.040166223E-1,3.098134934E0,-1.474735031E0,3.444663930E0
2.585762917E-1,3.357843988E-1,2.906673705E0,-1.520887104E0,3.297665958E0
2.686112917E-1,4.187110730E-1,2.801237005E0,-1.476155319E0,3.193944622E0
2.786452917E-1,4.720322710E-1,2.778945080E0,-1.263133067E0,3.088827507E0
2.886792917E-1,4.194368586E-1,2.826499900E0,-1.021342514E0,3.034496580E0
2.987142917E-1,4.256088871E-1,2.961741028E0,-8.981902117E-1,3.124067620E0
3.087482917E-1,3.277142179E-1,3.071977123E0,-7.829152787E-1,3.187067051E0
3.187832917E-1,3.285559246E-1,2.988338258E0,-5.628015232E-1,3.058571577E0
3.288172917E-1,6.792856604E-1,2.722145812E0,-1.627262574E-1,2.810335685E0
3.388512917E-1,9.341640365E-1,2.350530991E0,3.779131490E-1,2.557435578E0
3.488862917E-1,1.041687316E0,1.964654811E0,7.878140759E-1,2.359159174E0
3.589202916E-1,1.111477781E0,1.729813966E0,8.794177258E-1,2.236294872E0
3.689542917E-1,1.282820350E0,1.677236095E0,6.573942697E-1,2.211541588E0
3.789892917E-1,1.482692506E0,1.470592863E0,2.158090353E-1,2.099427059E0
3.890232916E-1,1.660616847E0,9.207022843E-1,-3.615684271E-2,1.899117775E0
3.990582917E-1,1.462168195E0,3.894304097E-2,-2.563243926E-2,1.462911280E0
4.090922917E-1,1.398695499E0,-5.483931068E-1,-7.568635941E-2,1.504264779E0
4.191262917E-1,1.692757968E0,-6.325684538E-1,-7.462801337E-2,1.808629793E0
4.291612917E-1,1.997292653E0,-6.193163243E-1,1.902146029E-1,2.099740996E0
4.391952917E-1,1.985493557E0,-6.621392852E-1,5.373690587E-1,2.160874500E0
4.492312917E-1,1.710523709E0,-6.600644007E-1,7.230280960E-1,1.970874425E0
4.592652917E-1,1.570126361E0,-7.559458736E-1,7.145964110E-1,1.883454003E0
4.692992917E-1,1.435420545E0,-1.026337790E0,4.501490664E-1,1.821108339E0
4.793342917E-1,1.311942700E0,-1.451149117E0,2.045771188E-1,1.966946670E0
4.893682917E-1,9.951848482E-1,-2.046102725E0,4.089718044E-2,2.275654152E0
4.994022917E-1,7.168690775E-1,-2.478167523E0,-1.515978366E-1,2.584220859E0
5.094372917E-1,6.455483955E-1,-2.585713606E0,-1.859473050E-1,2.671558344E0
5.194712917E-1,6.126493290E-1,-2.656194189E0,-7.634592533E-2,2.727001187E0
5.295062917E-1,4.482175849E-1,-2.444231452E0,3.155408996E-1,2.504941607E0
5.395402916E-1,2.432852478E-1,-1.932961441E0,7.817943674E-1,2.099221302E0
5.495742917E-1,2.138053407E-1,-1.652166451E0,1.035379924E0,1.961473500E0
5.596092917E-1,2.078196922E-1,-1.691926932E0,1.002664168E0,1.977660538E0
5.696432916E-1,3.919450048E-1,-2.029453948E0,8.051925856E-1,2.218251409E0
5.796782917E-1,3.350909190E-1,-2.588405079E0,5.910657942E-1,2.676095206E0
5.897122917E-1,1.153768207E-1,-2.919177976E0,3.391285676E-1,2.941074642E0
5.997462917E-1,-1.478961106E-1,-2.949763591E0,2.213621360E-1,2.961752809E0
6.097812917E-1,-4.631237456E-1,-2.755586330E0,1.763748282E-1,2.799794226E0
6.198152917E-1,-7.455737901E-1,-2.333272934E0,2.174661362E-1,2.459132851E0
6.298502916E-1,-9.890622286E-1,-1.926566341E0,2.686561704E-1,2.182218618E0
6.398842917E-1,-1.109618074E0,-1.746898946E0,3.432093394E-1,2.097784748E0
6.499182917E-1,-1.179865646E0,-1.740062966E0,3.979568195E-1,2.139689627E0
6.599532916E-1,-1.109814979E0,-1.739073032E0,5.306260496E-1,2.130170957E0
6.699872917E-1,-9.448468995E-1,-1.739013391E0,6.271641648E-1,2.076111299E0
6.800212917E-1,-7.228409851E-1,-1.717326652E0,5.863535231E-1,1.953335705E0
6.900562917E-1,-5.395415917E-1,-1.661342486E0,6.171905690E-1,1.852589589E0
7.000902917E-1,-5.854018888E-1,-1.463608949E0,6.411238074E-1,1.701730373E0
7.101252917E-1,-6.895741287E-1,-1.166125420E0,5.145608246E-1,1.449183845E0
7.201592917E-1,-7.348432723E-1,-1.047287779E0,3.081289691E-1,1.315959645E0
7.301932917E-1,-7.282344568E-1,-1.135985655E0,2.791156697E-1,1.377931199E0
7.402282917E-1,-7.198225062E-1,-1.282996058E0,3.919423735E-1,1.522446108E0
7.502622917E-1,-7.394853768E-1,-1.333663352E0,4.942955446E-1,1.603067261E0
7.602972917E-1,-6.638355625E-1,-1.240168712E0,5.663706636E-1,1.516400942E0
7.703312917E-1,-5.996503839E-1,-1.141494901E0,5.668752784E-1,1.408523615E0
7.803652917E-1,-7.262437722E-1,-1.112542706E0,4.507957685E-1,1.402996120E0
7.904002917E-1,-9.080288829E-1,-9.674042881E-1,2.612939411E-1,1.352280308E0
8.004342917E-1,-9.646536116E-1,-8.434158343E-1,8.644991398E-2,1.284282075E0
8.104682917E-1,-9.365029228E-1,-8.193258905E-1,-5.005216599E-2,1.245326406E0
8.205032917E-1,-9.643371311E-1,-8.199661607E-1,-7.495487273E-2,1.268033454E0
8.305372917E-1,-9.942032468E-1,-7.202500838E-1,8.187505245E-2,1.230407983E0
8.405722917E-1,-9.739236411E-1,-3.280206120E-1,4.086069381E-1,1.105931467E0
8.506062917E-1,-8.969396384E-1,-2.356252491E-2,5.863622940E-1,1.071856636E0
8.606402916E-1,-1.019197316E0,6.009768248E-2,5.732002115E-1,1.170868645E0
8.706752917E-1,-1.007429356E0,3.252981484E-2,4.436200655E-1,1.101258761E0
8.807092917E-1,-8.576424024E-1,-6.047950566E-2,2.604946268E-1,8.983683607E-1
