"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.930445835E-2,-5.816754583E-1,5.823850179E-1,-1.185997767E0,1.443644469E0
3.933945834E-2,-2.899970457E-1,5.865733784E-1,-1.064531803E0,1.249557751E0
4.937345831E-2,-8.974803597E-2,7.682761896E-1,-1.023024173E0,1.282529326E0
5.940845830E-2,6.539292097E-2,9.403199852E-1,-1.048140303E0,1.409636834E0
6.944245833E-2,2.780929917E-1,8.739248514E-1,-1.179927188E0,1.494425819E0
7.947745832E-2,2.599309552E-1,7.764122978E-1,-1.295266441E0,1.532349604E0
8.951145830E-2,3.136914253E-2,7.928915057E-1,-1.208197891E0,1.445476775E0
9.954645834E-2,-1.304221451E-1,8.566056910E-1,-9.476126325E-1,1.284037751E0
1.095804583E-1,-1.956273705E-1,9.326744583E-1,-5.391384262E-1,1.094907282E0
1.196154583E-1,-3.574043325E-1,1.041561016E0,-2.688122910E-1,1.133511030E0
1.296494583E-1,-7.183491540E-1,1.094897855E0,1.592512572E-1,1.319161773E0
1.396844583E-1,-1.136379465E0,9.128091279E-1,4.984862441E-1,1.540476331E0
1.497184583E-1,-1.570575280E0,-3.951548338E-2,1.999724364E-1,1.583747821E0
1.597534583E-1,-1.977027520E0,-1.770183143E-1,-2.187911153E-1,1.996958399E0
1.697874583E-1,-1.471369958E0,1.000690148E0,-1.923681325E-1,1.789780943E0
1.798214584E-1,-5.417913079E-1,1.056841252E0,5.696193767E-1,1.317162666E0
1.898564583E-1,-8.718414885E-1,9.700735420E-1,1.288448002E0,1.833370806E0
1.998904583E-1,-7.812936996E-1,5.790810487E-1,1.279343303E0,1.607007776E0
2.099254583E-1,-2.261767334E-1,5.355494052E-1,1.429380518E0,1.543080602E0
2.199594583E-1,-9.667859450E-2,5.823505193E-1,1.861705517E0,1.953055634E0
2.299944583E-1,-3.779991031E-1,3.166346213E-1,1.891588882E0,1.954801602E0
2.400284583E-1,-5.631440239E-1,1.355793893E-2,1.518130726E0,1.619270179E0
2.500634583E-1,-5.334008458E-1,-3.402225816E-1,9.372168678E-1,1.130771119E0
2.600974583E-1,-2.995940807E-1,-5.706628123E-1,4.292604733E-1,7.743882827E-1
2.701324583E-1,-4.469674502E-1,-6.424300754E-1,1.804836667E-1,8.031629083E-1
2.801664583E-1,-8.756184974E-1,-5.868961447E-1,1.140429246E-1,1.060264413E0
2.902014583E-1,-1.175114930E0,-3.505455485E-1,1.983936882E-1,1.242230790E0
3.002354583E-1,-1.199401486E0,-8.168297142E-2,3.198310018E-1,1.243996745E0
3.102704583E-1,-9.090663251E-1,1.559136665E-1,3.245064354E-1,9.777602372E-1
3.203044583E-1,-6.033560568E-1,2.640614283E-1,2.389774579E-1,7.006262874E-1
3.303394583E-1,-4.129571204E-1,7.839362025E-2,1.587074661E-1,4.492963418E-1
3.403734583E-1,-2.751845866E-2,-1.454448116E-1,2.374834943E-1,2.798390052E-1
3.504084583E-1,3.175580429E-1,-1.369046608E-1,3.479262882E-1,4.905493846E-1
3.604424583E-1,4.718746886E-1,-1.449176851E-1,2.655501294E-1,5.605209438E-1
3.704774583E-1,5.333806729E-1,-1.595184749E-1,1.905829775E-1,5.884411249E-1
3.805114583E-1,5.775581414E-1,-2.186092669E-1,1.505231184E-1,6.356261695E-1
3.905464583E-1,5.866178173E-1,-2.556312051E-1,5.278515458E-2,6.420701279E-1
4.005804583E-1,6.227664739E-1,-3.274326745E-1,-1.052855498E-1,7.114318550E-1
4.106154583E-1,7.178790379E-1,-5.348711282E-1,-1.152568066E-1,9.026192820E-1
4.206494583E-1,8.559388161E-1,-7.129328781E-1,-2.460976124E-2,1.114230760E0
4.306844583E-1,1.020315158E0,-7.780591661E-1,2.020464438E-1,1.298938741E0
4.407184583E-1,8.166516665E-1,-9.485265523E-1,2.838326186E-1,1.283426476E0
4.507534583E-1,9.096940237E-1,-8.279856169E-1,4.844669598E-1,1.322048272E0
4.607874583E-1,1.166379189E0,-4.026056483E-1,9.209510833E-1,1.539702120E0
4.708224583E-1,9.295403507E-1,-3.496927321E-2,1.295638323E0,1.594975479E0
4.808564583E-1,9.873973802E-1,-1.729802272E-1,1.119437158E0,1.502669390E0
4.908914584E-1,1.492030802E0,-3.808528367E-1,8.865238470E-1,1.776831261E0
5.009254583E-1,2.091097926E0,-6.152583566E-1,6.603564692E-1,2.277565377E0
5.109604583E-1,2.341704034E0,-7.565937451E-1,3.140668166E-1,2.480856675E0
5.209944583E-1,2.392563993E0,-7.370786628E-1,-8.929575384E-2,2.505118989E0
5.310294583E-1,2.592509240E0,-7.340316787E-1,-5.155033958E-1,2.743291894E0
5.410634583E-1,2.245895067E0,-7.531976822E-1,-7.537844503E-1,2.485868540E0
5.510984584E-1,1.580928653E0,-6.247203210E-1,-8.493577749E-1,1.900268274E0
5.611324583E-1,6.621050790E-1,-4.796373059E-1,-7.063652855E-1,1.080456847E0
5.711674583E-1,-2.032790369E-1,-3.406880200E-1,-3.798877537E-1,5.492771607E-1
5.812014583E-1,-8.242381364E-1,-2.203932524E-1,-1.236727041E-1,8.621117265E-1
5.912364583E-1,-9.908563006E-1,-4.690227091E-2,1.842457652E-3,9.919674521E-1
6.012704583E-1,-7.265001726E-1,7.199223474E-2,-7.057589293E-2,7.334618868E-1
6.113054583E-1,-1.198848778E0,-1.520466104E-1,-1.783484974E0,2.154338696E0
6.213394583E-1,-1.877572521E0,-1.025408667E-1,-3.214719059E0,3.724273329E0
6.313744583E-1,2.816366968E-1,-6.584681109E-2,-4.019919831E-1,4.952298314E-1
6.414084584E-1,1.178399603E0,-6.688189251E-1,9.321058166E-1,1.644617169E0
6.514434583E-1,6.063012993E-1,-4.794814776E-1,9.594661081E-1,1.232103472E0
6.614774583E-1,-2.287462923E-1,-7.098651364E-2,1.162540492E0,1.186955917E0
6.715124583E-1,-3.330188119E-1,1.858669057E-2,1.306435207E0,1.348339699E0
6.815464583E-1,-2.330352250E-1,2.293497249E-3,1.060137620E0,1.085450344E0
6.915808333E-1,-1.817606986E-1,-1.723993063E-1,8.679624456E-1,9.033920961E-1
7.016148333E-1,-8.984100670E-2,-2.958159024E-1,6.899387026E-1,7.560382714E-1
7.116498333E-1,-1.974648580E-1,-3.131835216E-1,3.741931504E-1,5.263998500E-1
7.216838333E-1,-3.251198083E-2,-3.924484500E-1,1.073735905E-1,4.081689635E-1
7.317188333E-1,1.578137192E-1,-4.743365856E-1,5.354178429E-2,5.027594744E-1
7.417528333E-1,2.870281219E-1,-5.033843835E-1,1.759310246E-1,6.055845984E-1
7.517878333E-1,4.442229134E-1,-1.883874942E-1,2.223117238E-1,5.312686207E-1
7.618218333E-1,4.952908869E-1,1.097520185E-1,2.631954557E-1,5.715158931E-1
7.718568333E-1,6.007164775E-1,2.453891491E-1,2.151623333E-1,6.836453397E-1
7.818908333E-1,7.644869015E-1,3.780288508E-1,7.863744915E-2,8.564635911E-1
7.919248333E-1,9.306269096E-1,4.345893332E-1,-3.182931840E-2,1.027593032E0
8.019598333E-1,9.353450279E-1,2.847685385E-1,-1.216261786E-1,9.852696936E-1
8.119938333E-1,7.821390608E-1,1.410080174E-1,-3.153953040E-1,8.550432557E-1
8.220288333E-1,4.844877174E-1,9.469697312E-2,-2.538539439E-1,5.551015132E-1
8.320628333E-1,2.943431349E-1,1.247985855E-2,-7.420584440E-2,3.038093733E-1
8.420978333E-1,3.153149047E-1,9.968991056E-3,2.275619388E-2,3.162921344E-1
8.521318333E-1,3.433074264E-1,-5.082224429E-2,4.073351687E-1,5.351306656E-1
8.621668333E-1,1.473211831E-1,9.946318477E-2,2.676206285E-1,3.212744261E-1
8.722008333E-1,1.659782595E-1,2.966212832E-1,-1.876476753E-1,3.882584427E-1
8.822358333E-1,4.435204435E-1,1.194867555E-1,-5.627377886E-1,7.264029785E-1
8.922698333E-1,7.539088498E-1,1.331422698E-1,-6.191610807E-1,9.846145752E-1
9.023048333E-1,2.943627231E-1,1.881777985E-1,-1.746241719E-1,3.905814870E-1
9.123388333E-1,-4.292481941E-1,3.796699449E-2,1.773793799E-1,4.660031644E-1
9.223738333E-1,-8.038700916E-1,3.821228519E-2,5.736937165E-2,8.068200219E-1
9.324078333E-1,-7.723085026E-1,5.134122122E-1,9.427114964E-2,9.321692831E-1
9.424428333E-1,-3.729522251E-1,7.783954541E-1,1.028887761E-1,8.692404416E-1
9.524768333E-1,-9.187561847E-2,9.300935704E-1,2.452252078E-1,9.662559607E-1
9.625118333E-1,-1.525524677E-1,1.100383055E0,8.183991069E-1,1.379816010E0
9.725458333E-1,-6.547463581E-2,1.065349901E0,1.211453036E0,1.614582236E0
9.825808333E-1,-5.876320168E-2,1.041516138E0,1.068063521E0,1.492973096E0
9.926148333E-1,5.581510864E-2,8.252872000E-1,8.716976470E-1,1.201695085E0
1.002649833E0,1.344808437E-1,4.336629150E-1,7.682399368E-1,8.923795278E-1
1.012683833E0,6.453718096E-3,-1.219148849E-1,8.265279061E-1,8.354958223E-1
1.022718833E0,-1.411293472E-1,-7.850264159E-1,8.868933910E-1,1.192796652E0
1.032752833E0,-2.519370805E-1,-1.197298096E0,9.575464672E-1,1.553669933E0
1.042787833E0,-5.089704479E-1,-1.638876899E0,8.327066588E-1,1.907450861E0
1.052821833E0,-6.094528024E-1,-2.042354513E0,6.722052670E-1,2.234838830E0
1.062856833E0,-2.611911763E-1,-1.458683693E0,8.830494314E-1,1.725037752E0
1.072890833E0,-2.120212090E-1,-7.935104334E-1,1.156813145E-1,8.294540177E-1
1.082925833E0,1.861702301E0,-2.188978270E-1,-8.167983731E0,8.380322783E0
