"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.134333317E-3,-3.675163610E-1,7.099543065E-2,5.873843873E-1,6.965120567E-1
1.116933333E-2,-3.104640546E-1,-3.581773344E-1,4.593175006E-1,6.600390128E-1
2.120433332E-2,-3.335412607E-2,-6.331365108E-1,3.393764895E-1,7.191319356E-1
3.123933333E-2,2.424976279E-1,-7.244922388E-1,1.888293976E-1,7.869883385E-1
4.127433331E-2,3.290460674E-1,-6.131508739E-1,9.981489480E-2,7.029852928E-1
5.130933333E-2,2.425291298E-1,-3.762980019E-1,9.969561160E-2,4.586499536E-1
6.134433331E-2,1.257272695E-1,-9.812212586E-2,1.376884800E-1,2.106974499E-1
7.137933333E-2,6.798806146E-2,1.365001796E-1,1.467656976E-1,2.116479282E-1
8.141433331E-2,4.363119230E-2,2.742256433E-1,1.043839091E-1,2.966469027E-1
9.144933333E-2,6.476851143E-2,3.357911231E-1,1.020982325E-2,3.421328381E-1
1.014843333E-1,7.019874752E-2,3.175964883E-1,-1.140563732E-1,3.446799237E-1
1.115193333E-1,4.306021169E-2,2.495006919E-1,-1.645833331E-1,3.019808779E-1
1.215543333E-1,3.006112039E-2,1.724953468E-1,-2.334904307E-1,2.918494421E-1
1.315893333E-1,4.029016636E-2,1.128609100E-1,-3.017063874E-1,3.246346049E-1
1.416243333E-1,1.027266620E-1,1.016744556E-1,-3.840451241E-1,4.103426852E-1
1.516593333E-1,1.963540332E-1,1.143237372E-1,-4.603325772E-1,5.133526126E-1
1.616943333E-1,2.886568639E-1,1.685875064E-1,-5.334034771E-1,6.294948782E-1
1.717293333E-1,3.398287717E-1,2.460271534E-1,-6.089647061E-1,7.394937238E-1
1.817643333E-1,3.368031299E-1,3.660073408E-1,-6.494327009E-1,8.180223437E-1
1.917993333E-1,3.126485013E-1,4.795360029E-1,-6.718111646E-1,8.826290865E-1
2.018343333E-1,3.257817862E-1,5.729234920E-1,-6.590899622E-1,9.320808325E-1
2.118693333E-1,3.707453397E-1,6.446122563E-1,-7.059793693E-1,1.025370147E0
2.219043333E-1,4.109373459E-1,6.744731095E-1,-6.977529216E-1,1.053870304E0
2.319393333E-1,4.318037197E-1,6.764541462E-1,-7.181088334E-1,1.076905270E0
2.419743333E-1,4.213225856E-1,6.402284525E-1,-7.907634115E-1,1.101232022E0
2.520093333E-1,4.036250373E-1,5.889346303E-1,-7.266978085E-1,1.018747699E0
2.620443333E-1,3.638578313E-1,5.773569971E-1,-6.430989969E-1,9.377152784E-1
2.720793333E-1,3.426842594E-1,5.934482422E-1,-6.020544666E-1,9.121857808E-1
2.821143333E-1,3.603264785E-1,6.383605595E-1,-5.977047229E-1,9.458278441E-1
2.921493333E-1,4.554911558E-1,6.707608585E-1,-5.561286807E-1,9.831945035E-1
3.021843333E-1,5.685799610E-1,6.511542673E-1,-3.800883132E-1,9.443263089E-1
3.122193333E-1,5.896849012E-1,5.949305114E-1,-1.578490949E-1,8.524006880E-1
3.222543333E-1,4.873043212E-1,4.898330958E-1,-5.162799060E-2,6.928689722E-1
3.322893333E-1,2.844910882E-1,3.796569349E-1,-4.175087392E-2,4.762538220E-1
3.423243333E-1,4.696922153E-2,2.718203911E-1,-4.419734895E-2,2.793668528E-1
3.523593333E-1,-1.345082525E-1,1.799539089E-1,-4.228297055E-2,2.286126176E-1
3.623943333E-1,-1.640183459E-1,9.328033894E-2,-3.037745476E-2,1.911178411E-1
3.724293333E-1,-1.337691645E-1,-1.871620640E-2,1.934410965E-1,2.359320741E-1
3.824643333E-1,-2.549661575E-1,-1.522781602E-1,4.702453619E-1,5.561718079E-1
3.924993333E-1,-5.191147093E-1,-3.026132905E-1,5.394875050E-1,8.075281128E-1
4.025333333E-1,-7.845496485E-1,-4.562706627E-1,6.250433797E-1,1.101989245E0
4.125683333E-1,-9.600040519E-1,-5.762875414E-1,6.437310809E-1,1.291551321E0
4.226043333E-1,-1.041812300E0,-6.352011627E-1,6.632794923E-1,1.388809947E0
4.326383333E-1,-1.008545590E0,-6.237778960E-1,5.962885273E-1,1.327336837E0
4.426733333E-1,-9.179673953E-1,-5.339110154E-1,5.388466501E-1,1.190831988E0
4.527083333E-1,-8.118081254E-1,-3.989335969E-1,4.522283363E-1,1.011281818E0
4.627433333E-1,-6.811750419E-1,-2.187658261E-1,3.052275807E-1,7.778314730E-1
