"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.261266665E-2,-4.554875743E-1,2.295929691E-1,-2.119066620E0,2.179592899E0
3.264766670E-2,-7.713407153E-1,2.154824683E-1,-2.141401230E0,2.286262982E0
4.268166667E-2,-5.894832453E-1,2.447150382E-1,-2.194282279E0,2.285224424E0
5.271566665E-2,-1.082433638E-1,2.307752761E-1,-2.162497984E0,2.177469032E0
6.275066669E-2,4.388604319E-1,6.149499160E-1,-2.092022663E0,2.224257337E0
7.278466667E-2,8.898585141E-1,1.025667991E0,-1.502815114E0,2.025412618E0
8.281966666E-2,1.670987761E0,1.638190728E0,-3.645814973E-1,2.368288121E0
9.285366669E-2,2.462004357E0,2.097628389E0,7.922462654E-1,3.330039708E0
1.028876667E-1,2.812140600E0,1.386542939E0,9.115078300E-1,3.265192582E0
1.129226667E-1,2.416108099E0,3.966145912E-1,1.399770802E-1,2.452442673E0
1.229566667E-1,1.782660517E0,-6.176826122E-1,-1.156023771E-1,1.890178361E0
1.329906667E-1,1.397704981E0,-5.344942752E-1,3.560539180E-1,1.538193010E0
1.430256666E-1,9.741285861E-1,1.846726120E-1,1.008028404E0,1.413913625E0
1.530596667E-1,8.582624996E-1,5.852375820E-1,1.092489679E0,1.507531507E0
1.630936667E-1,7.574202490E-1,6.153200448E-1,6.918799782E-1,1.196244998E0
1.731286666E-1,6.050353771E-1,2.322192460E-2,1.357629919E-1,6.205148309E-1
1.831626667E-1,4.304100358E-1,-1.358281299E0,-4.125082004E-1,1.483355622E0
1.931966667E-1,4.114519009E-1,-3.430183108E0,-7.352949697E-1,3.532153382E0
2.032316666E-1,4.830998808E-2,-3.248803356E0,-7.334069037E-1,3.330907202E0
2.132656667E-1,-2.800640881E-2,-9.426021534E-1,1.553488839E0,1.817308656E0
2.233006667E-1,-3.284661698E-1,8.138163516E-1,2.308216445E0,2.469423058E0
2.333346667E-1,-1.553327456E-1,1.494461197E0,1.662075727E0,2.240544187E0
2.433686667E-1,2.253598773E-1,1.768096564E0,7.977865022E-1,1.952796927E0
2.534036667E-1,4.827241972E-1,1.366025059E0,1.346631306E-1,1.455053700E0
2.634376667E-1,7.971292752E-1,7.169320813E-1,-1.231961560E-1,1.079158924E0
2.734716667E-1,1.135748404E0,6.842791826E-2,-3.356243312E-2,1.138302796E0
2.835066667E-1,1.409556556E0,-1.202243087E-1,7.909376585E-1,1.620767087E0
2.935406667E-1,1.522899569E0,-3.507867461E-1,1.244651772E0,1.997856970E0
3.035746667E-1,1.743216515E0,-4.741594881E-1,9.142209381E-1,2.024705155E0
3.136096667E-1,1.783733334E0,-2.352983898E-1,6.522563213E-1,1.913768076E0
3.236436667E-1,1.275420260E0,-7.156085640E-2,4.017241806E-1,1.339104220E0
3.336776667E-1,6.069754833E-1,-3.943935263E-1,-3.186703295E-1,7.908958653E-1
3.437126667E-1,2.775791676E-1,-5.840397799E-1,-1.305742312E0,1.457091502E0
3.537466667E-1,-2.110672358E-1,-8.397931919E-1,-2.170990480E0,2.337306494E0
3.637806667E-1,-2.050591924E0,-1.315108382E0,-3.294512503E0,4.097346694E0
3.738156667E-1,-2.798243523E0,-7.955823943E-1,-2.089185010E0,3.581593523E0
3.838496667E-1,-5.023763967E0,1.312787622E-1,6.558576214E-1,5.068095078E0
3.938846667E-1,-6.875452033E0,-2.816109690E-1,1.094435048E-1,6.882087131E0
4.039186666E-1,-2.751940884E0,-1.451885574E0,-1.039168335E0,3.280399545E0
4.139526667E-1,1.129705307E0,-2.137950496E0,4.291049373E-1,2.455849639E0
4.239876667E-1,1.735513540E0,-1.409558164E0,5.315195042E-1,2.298124115E0
4.340216666E-1,1.288799420E0,-7.931806505E-2,7.179152906E-1,1.477395568E0
4.440556667E-1,8.959743362E-1,6.310806298E-1,1.211846554E0,1.633892543E0
4.540906667E-1,8.015453117E-1,5.741290417E-1,1.072154818E0,1.456576464E0
4.641246666E-1,3.515441798E-1,2.214369804E-1,1.051840421E0,1.130922596E0
4.741586667E-1,9.068154395E-3,-2.603566325E-1,8.368675375E-1,8.764787977E-1
4.841936667E-1,-2.044357623E-1,-7.608560729E-1,5.367597789E-1,9.533136969E-1
4.942276667E-1,-7.911246233E-1,-7.973637486E-1,1.977417237E-1,1.140512563E0
5.042616667E-1,-1.026559399E0,-3.726543094E-1,1.075338042E-1,1.097387331E0
5.142966667E-1,-5.785672246E-1,7.231631666E-2,2.639503312E-1,6.400308277E-1
5.243306667E-1,-3.121170625E-2,3.286276992E-1,5.978713685E-1,6.829498580E-1
5.343646667E-1,-5.240333140E-2,5.938920459E-1,8.047218847E-1,1.001514445E0
5.443996667E-1,5.275971919E-2,5.892395626E-1,8.256332821E-1,1.015705256E0
5.544336667E-1,2.539464030E-1,4.607782812E-1,6.979084575E-1,8.740032123E-1
5.644686667E-1,4.621213136E-1,4.052073669E-1,5.494809812E-1,8.244261443E-1
5.745026667E-1,5.489784130E-1,1.994052565E-1,4.475973415E-1,7.358553761E-1
5.845366667E-1,4.270339997E-1,-3.628128608E-1,2.777105838E-1,6.253913792E-1
5.945716667E-1,5.821584383E-1,-8.926283401E-1,3.260191101E-1,1.114442579E0
6.046056667E-1,9.387869914E-1,-1.188271750E0,4.331371772E-1,1.575093197E0
6.146396667E-1,1.210980800E0,-9.883525229E-1,3.993747693E-1,1.613324336E0
6.246746667E-1,1.279821167E0,-6.794122526E-1,2.099530488E-1,1.464111850E0
6.347086667E-1,1.540039366E0,-3.128397784E-1,-6.542449594E-3,1.571506532E0
6.447426667E-1,1.946581652E0,-1.046600439E-1,-9.100547969E-2,1.951516296E0
6.547776667E-1,1.724488907E0,-4.280600399E-2,-7.256979346E-3,1.725035364E0
6.648116666E-1,9.603609513E-1,-5.292168707E-2,-2.761698425E-2,9.622144042E-1
6.748456667E-1,5.828050672E-1,-2.546436104E-1,-2.337482929E-2,6.364365619E-1
6.848806667E-1,7.085997990E-1,-3.309410039E-1,-1.054779232E-2,7.821424928E-1
6.949146666E-1,9.240842407E-1,-6.434217632E-2,2.065347666E-1,9.490670205E-1
7.049486667E-1,8.705567821E-1,2.851206140E-1,6.650389194E-1,1.132006908E0
7.149836667E-1,5.424317973E-1,4.760475540E-1,6.321454078E-1,9.594067672E-1
7.250176667E-1,3.464372948E-1,4.821536551E-1,1.324903053E-1,6.083129354E-1
7.350516667E-1,3.585158151E-1,2.958559558E-1,-2.504157811E-1,5.279890147E-1
7.450866667E-1,4.415493106E-1,1.665048744E-1,-5.945963430E-1,7.591010987E-1
7.551206667E-1,4.944897087E-1,9.005691513E-2,-8.557037580E-1,9.924007464E-1
7.651556667E-1,5.174989043E-1,6.261315465E-2,-7.460392284E-1,9.101099129E-1
7.751896667E-1,5.556897010E-1,1.059465775E-1,3.903367281E-2,5.670443975E-1
7.852236667E-1,2.137848754E-1,3.010899447E-1,6.555500579E-1,7.523994990E-1
7.952586667E-1,-7.803613611E-2,5.785828659E-1,7.761284155E-1,9.711967301E-1
8.052926667E-1,1.277419277E-1,1.030378947E0,9.074662346E-1,1.378946606E0
8.153266667E-1,8.331349674E-1,2.693846750E0,2.925074308E0,4.062878769E0
8.253616667E-1,5.634331687E-1,1.608257516E0,1.110791464E0,2.034159986E0
8.353956667E-1,-1.670629911E-1,6.328236848E-2,5.397564769E-1,5.685523331E-1
8.454303333E-1,-4.340719277E-1,3.842990394E-1,1.053807424E0,1.202752792E0
8.554653333E-1,-3.462049410E-1,3.776074858E-1,2.352703232E-1,5.637352211E-1
8.654993334E-1,4.555594951E-2,2.782318631E-1,-3.940374309E-1,4.845139947E-1
8.755333333E-1,5.323280279E-1,3.779464781E-1,-5.608222407E-1,8.606615219E-1
8.855683333E-1,4.975294934E-1,3.783607534E-1,-6.990849173E-1,9.377697895E-1
8.956023334E-1,-3.486763398E-1,4.388344118E-1,-5.058665997E-1,7.550177797E-1
9.056363333E-1,-9.142776561E-1,-4.064588173E-1,-4.224256629E-1,1.086073590E0
9.156713333E-1,-1.139165371E0,-1.465444536E0,-6.036998731E-1,1.951839893E0
9.257053334E-1,-3.134570982E-1,-1.054872787E0,-4.624942929E-1,1.193697164E0
9.357403333E-1,-8.466532914E-1,-9.599226294E-1,-1.998671865E-1,1.295461363E0
9.457743333E-1,-1.035490729E0,-8.348562415E-1,-2.706757987E-1,1.357384021E0
9.558083334E-1,-5.933402149E-1,-6.636383651E-1,-6.542923218E-1,1.104792710E0
9.658433333E-1,-9.245061904E-2,-3.959737363E-1,-1.108521575E0,1.180746543E0
9.758773333E-1,4.233062536E-1,3.995655347E-1,-9.533224386E-1,1.116989021E0
9.859113334E-1,2.082053161E-1,9.925202720E-1,-9.879385400E-1,1.415792535E0
9.959463333E-1,-2.391888347E-1,1.124729034E0,-1.225230830E0,1.680302736E0
1.005980333E0,2.624332711E-1,1.389200498E0,-5.112144631E-1,1.503359396E0
1.016014333E0,2.910168001E-1,1.324901884E0,3.366242051E-2,1.356904174E0
1.026049333E0,1.325569636E-1,8.367070314E-1,1.342117256E-1,8.577078712E-1
1.036083333E0,1.275125706E-1,6.124354671E-1,5.489178944E-1,8.322544754E-1
1.046117333E0,1.037015390E-1,5.120210865E-1,8.946959156E-1,1.036050377E0
1.056152333E0,3.534220862E-1,1.273150809E-1,9.683807731E-1,1.038690340E0
1.066186333E0,7.525454253E-2,-2.027295448E-1,1.121545663E0,1.142202780E0
1.076220333E0,-9.493489632E-1,-1.943614483E-1,1.542091447E0,1.821286868E0
1.086255333E0,-7.459652612E-1,-8.609371622E-1,9.933898991E-1,1.511456404E0
1.096289333E0,-8.746879131E-1,-6.773708434E-1,7.819499034E-1,1.354753061E0
1.106324333E0,-8.554260153E-1,-3.817968696E-1,5.311429435E-1,1.076863661E0
1.116358333E0,-5.769400907E-1,-3.467834499E-1,4.947323316E-1,8.353913510E-1
1.126392333E0,-1.568539865E0,-7.709069981E-1,-2.481476462E-1,1.765273962E0
1.136427333E0,-7.322050086E-1,2.817587574E-1,-2.350112915E-2,7.848977481E-1
1.146461333E0,1.178798676E-3,5.968580461E-1,1.968792593E-1,6.284921316E-1
1.156495333E0,-1.211309195E-1,-3.322105806E-1,-1.852397919E-2,3.540899706E-1
1.166530333E0,7.181608737E-2,-6.688065729E-1,5.029891849E-1,8.399154138E-1
1.176564333E0,-3.122079867E-1,-1.471744764E0,1.716382912E0,2.282427825E0
1.186598333E0,4.711434942E-1,-1.663234645E-1,3.059314685E0,3.099846130E0
1.196633333E0,5.239374197E-1,2.724916515E-1,4.090496308E0,4.132907229E0
1.206667333E0,6.467745566E-1,2.750441073E-1,4.151564044E0,4.210635415E0
1.216701333E0,7.773972613E-1,1.359372389E-1,3.936214600E0,4.014549889E0
1.226736333E0,7.071493971E-1,5.522991930E-1,3.072375026E0,3.200716009E0
1.236770333E0,-1.528956261E-1,1.280371682E0,1.654742149E0,2.097832285E0
1.246804333E0,-9.277353153E-1,8.044084740E-1,2.392405826E-1,1.251000346E0
1.256839333E0,-1.352044659E0,8.553932709E-1,-3.525733044E0,3.871758761E0
1.266873333E0,-1.335216957E0,1.176433477E0,-4.345800946E0,4.696039386E0
1.276907333E0,-7.788935637E-1,5.474011266E-1,-2.008218614E0,2.222445765E0
1.286942333E0,-9.391330004E-2,2.962753473E-1,-2.494357878E0,2.513646756E0
1.296976333E0,5.388867036E-1,-1.423373088E-2,-1.656793937E0,1.742288044E0
1.307011333E0,1.342415756E0,-2.223343818E-1,-2.046788603E-1,1.376010929E0
1.317045333E0,7.398786020E-1,-5.296602358E-1,6.845393836E-1,1.138663462E0
1.327079333E0,-2.179906315E-1,-1.147777150E0,1.310189704E0,1.755422844E0
1.337114333E0,-5.795391780E-1,-1.472336795E0,1.562121084E0,2.223480060E0
1.347148333E0,-1.372420451E-1,-1.283130252E0,1.806021897E0,2.219678742E0
1.357182333E0,3.414117591E-1,-6.669090052E-1,1.612363869E0,1.777933310E0
1.367217333E0,4.528115961E-1,-1.785758664E-1,1.251626331E0,1.342943094E0
1.377251333E0,3.789115611E-1,-2.712127192E-1,6.891159993E-1,8.318720880E-1
1.387285333E0,-1.138379797E-1,-7.520017804E-1,-4.314426541E-2,7.617920917E-1
1.397320333E0,-9.753180559E-1,-1.320032176E0,-6.881412685E-2,1.642700715E0
1.407354333E0,-2.199446248E0,-1.855657449E0,1.097879643E0,3.079994817E0
1.417388333E0,-2.264444920E0,-1.866384605E0,1.235320786E0,3.183884378E0
1.427423333E0,-2.282188150E0,-1.765764402E0,1.657555829E0,3.327731660E0
1.437457333E0,-2.166104254E0,-1.669661758E0,1.831264912E0,3.291399278E0
1.447492333E0,-1.886186054E0,-1.635831961E0,1.577446051E0,2.953299863E0
1.457526333E0,-1.747836108E0,-1.798248609E0,8.545138496E-1,2.649306143E0
1.467560333E0,-2.030978170E0,-2.132535682E0,-2.656653196E-1,2.956883296E0
1.477595333E0,-2.104859641E0,-4.369937083E-1,1.813402838E-1,2.157378480E0
1.487629333E0,-9.842243886E-1,-5.189389274E-1,9.479430002E-1,1.461708312E0
1.497663333E0,-3.600064896E-1,-1.480110668E0,5.522420365E-1,1.620278843E0
1.507698333E0,-7.161523551E-1,-1.098352683E0,5.904068130E-1,1.437996181E0
1.517732333E0,-1.312044441E0,-1.005902064E0,9.172100347E-1,1.890654338E0
1.527766333E0,-1.875003254E0,-1.584603043E0,7.086597329E-1,2.555152173E0
1.537801333E0,-2.102407903E0,-1.857905119E0,3.906758666E-1,2.832765090E0
1.547835333E0,-1.923669484E0,-2.026072795E0,1.403162187E-1,2.797349441E0
1.557869333E0,-1.872927493E0,-1.963298550E0,-1.015643817E-1,2.715274187E0
1.567904333E0,-1.944616257E0,-1.541788268E0,-2.451462704E-1,2.493740192E0
1.577938333E0,-1.921738149E0,-1.211970222E0,-2.786303508E-1,2.289013806E0
1.587972333E0,-1.637606884E0,-8.432968435E-1,-2.906101263E-1,1.864768113E0
1.598007333E0,-1.019188984E0,-4.232034887E-1,-4.635602403E-1,1.196969287E0
1.608041333E0,-5.785219818E-1,1.124799639E-1,-3.975059992E-1,7.108800497E-1
1.618075333E0,-2.047738776E-1,3.940058559E-1,-2.291354245E-1,4.996758931E-1
1.628110333E0,1.504984870E-1,5.200134994E-1,-1.869775844E-1,5.727341890E-1
1.638144333E0,3.826257855E-1,6.334320876E-1,-3.976662129E-1,8.401054209E-1
1.648179333E0,3.478840421E-1,6.689675175E-1,-8.957718033E-1,1.170874874E0
1.658213333E0,4.488091039E-1,8.709443794E-1,-1.298032174E0,1.626302938E0
1.668247333E0,8.829970989E-1,9.840089187E-1,-1.480723164E0,1.985068895E0
1.678282333E0,1.625896080E0,7.277579087E-1,-1.352605991E0,2.236674452E0
1.688316333E0,1.996579147E0,8.432801789E-1,-9.904054803E-1,2.382929450E0
1.698350333E0,1.777114140E0,1.274771365E0,-8.822963101E-1,2.358309454E0
1.708385333E0,1.338492275E0,1.624455034E0,-8.768671703E-1,2.280199939E0
1.718419333E0,9.673409919E-1,1.629023171E0,-9.598426688E-1,2.123855700E0
1.728453333E0,8.710734567E-1,1.251574291E0,-5.783375752E-1,1.630853005E0
1.738488333E0,8.252209072E-1,8.410333863E-1,1.177091289E-1,1.184137721E0
1.748522333E0,1.174337542E0,4.013613608E-1,4.547332835E-1,1.321719321E0
1.758556333E0,2.210630655E0,-2.964009163E-1,4.892248392E-1,2.283436520E0
1.768591333E0,2.219983423E0,-2.548275054E-1,-1.062146723E-1,2.237084042E0
1.778625333E0,1.391014597E-1,1.846838971E0,-3.230950930E0,3.724138465E0
1.788659333E0,-1.351321797E0,3.169159601E0,-3.154729550E0,4.671398260E0
1.798694333E0,-1.505162771E0,2.105796072E0,-2.331279033E0,3.483497380E0
1.808728333E0,1.126466095E-1,1.927541656E0,-3.085131311E0,3.639524874E0
1.818762333E0,8.033695699E-1,1.327708547E0,-2.795975972E0,3.197763952E0
1.828797333E0,1.249618251E0,1.651085008E0,-1.506118791E0,2.560472865E0
1.838831333E0,1.870843253E0,1.869410685E0,-3.161835086E-1,2.663592085E0
1.848865333E0,2.208894763E0,1.629419028E0,7.411930561E-2,2.745854350E0
1.858899333E0,2.365204286E0,1.184739739E0,4.268467426E-2,2.645679789E0
1.868933333E0,2.052969987E0,7.083600631E-1,-2.849330646E-1,2.190353076E0
1.878968333E0,1.550321987E0,3.982909879E-1,-8.152351785E-1,1.796313550E0
1.889002333E0,1.236306626E0,9.073446125E-1,-1.415357140E0,2.086855087E0
1.899036333E0,6.021679026E-1,1.023932538E0,-3.733722013E-1,1.245171002E0
1.909071333E0,-5.211272478E-2,2.800757825E-1,3.562024373E-1,4.561122191E-1
1.919105333E0,3.148374796E-1,-2.703974712E-1,8.218249905E-1,9.206702700E-1
1.929139333E0,7.796382067E-1,-4.916511413E-1,1.457581054E0,1.724557655E0
1.939174333E0,7.169768125E-1,-3.088394058E-1,1.624544204E0,1.802382146E0
1.949208333E0,3.024068838E-1,-5.105174750E-2,1.356616597E0,1.390850385E0
1.959242333E0,1.302701175E-1,6.222431481E-2,8.206853682E-1,8.332866508E-1
1.969277333E0,1.396142605E-1,2.290699357E-1,-2.128018123E-1,3.424175645E-1
1.979311333E0,8.179889247E-1,1.109613835E0,-2.208349510E0,2.603297199E0
1.989345333E0,1.098412032E0,1.003721637E0,-1.411584517E0,2.050984389E0
1.999380333E0,5.509334296E-1,-5.810816735E-1,-1.030910897E-1,8.073483312E-1
2.009414333E0,1.256490630E0,4.330585322E-1,5.083861649E-2,1.329997353E0
2.019449333E0,1.946218248E0,7.083010063E-1,-3.817348891E-1,2.105986066E0
2.029483333E0,1.493532659E0,3.651761591E-2,-1.103631549E0,1.857411084E0
2.039517333E0,4.704845130E-1,-3.250063723E-1,-1.700058655E0,1.793651095E0
2.049552333E0,1.477722958E-1,-5.932666862E-1,-1.309661116E0,1.445342261E0
2.059586333E0,7.935197890E-2,-5.187895310E-1,-5.465567887E-1,7.577358625E-1
2.069620333E0,8.709398478E-2,-1.499758190E-1,-2.975764990E-2,1.759648436E-1
2.079655333E0,1.993795288E-1,3.166015846E-1,3.838281924E-1,5.360157097E-1
2.089689333E0,3.860922343E-1,4.651316795E-1,5.234158480E-1,7.996116824E-1
2.099723333E0,3.204078296E-1,5.095959538E-1,3.748234802E-1,7.091134287E-1
2.109758333E0,4.427366973E-1,6.451636487E-1,-1.302987689E-1,7.932399927E-1
2.119792333E0,1.025910066E0,3.942461765E-1,-7.596439451E-1,1.336031599E0
2.129826333E0,6.377191199E-1,-1.728106579E-1,-8.252836186E-1,1.057186006E0
2.139861333E0,-3.644989054E-1,-3.511776325E-1,-2.155283689E-2,5.066060663E-1
2.149895333E0,-1.025021143E0,-8.328189254E-1,1.014462680E0,1.665349884E0
2.159929333E0,-1.998114626E0,-9.026352650E-1,1.689719024E0,2.768097335E0
2.169964333E0,-2.191116889E0,-6.902331099E-1,1.542626467E0,2.767148601E0
2.179998333E0,-5.762863719E-1,-3.253010720E-1,9.788753557E-1,1.181576799E0
2.190033333E0,7.479107760E-1,4.067481083E-1,3.360155100E-1,9.152709847E-1
2.200067333E0,8.545053712E-1,4.266493991E-1,-2.225988221E-1,9.806933133E-1
2.210101333E0,6.285198417E-1,1.240133044E-1,-3.200713223E-1,7.161439398E-1
2.220136333E0,4.542583434E-1,-3.196924227E-1,-2.491820186E-1,6.088066739E-1
2.230170333E0,4.021602367E-1,-5.087662339E-2,-1.126202971E-1,4.207191677E-1
2.240204333E0,2.807993755E-2,8.939603359E-2,3.785925955E-1,3.900160087E-1
2.250239333E0,-1.247010832E-1,3.146278569E-1,7.176328701E-1,7.934342977E-1
2.260273333E0,-5.636518545E-1,1.207850567E-1,4.950071508E-1,7.598187431E-1
