"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.031950000E-2,-5.526320457E-2,4.342493176E-2,-1.584556265E0,1.586114216E0
2.035350003E-2,-3.517448124E-1,2.532163051E-1,-7.463929850E-1,8.631021946E-1
3.038850002E-2,-3.875481910E-1,2.447147459E-1,1.901689947E-2,4.587379967E-1
4.042249999E-2,-1.948466210E-1,1.694680971E-1,3.350051111E-1,4.229811652E-1
5.045650003E-2,3.027074307E-2,1.636153266E-1,2.567313588E-1,3.059367313E-1
6.049150001E-2,1.534923345E-2,2.639640722E-1,1.482292557E-1,3.031246321E-1
7.052549999E-2,5.769593865E-2,3.098433727E-1,-7.219264805E-2,3.233318966E-1
8.056050004E-2,1.596196318E-1,2.372680244E-1,-2.448585874E-1,3.764708090E-1
9.059450001E-2,2.170653096E-1,3.844076514E-2,-3.791112435E-1,4.385434710E-1
1.006285000E-1,2.103594303E-1,-8.465394169E-2,-7.987337512E-1,8.302969258E-1
1.106635000E-1,7.297135100E-2,1.128348899E-1,-1.442600487E0,1.448845298E0
1.206975000E-1,1.696935073E-2,6.539464590E-1,-2.164667886E0,2.261353795E0
1.307325000E-1,2.055859096E-1,1.147294170E0,-2.722756553E0,2.961748255E0
1.407665000E-1,1.297945781E0,1.186635991E0,-2.932108508E0,3.419068372E0
1.508015000E-1,4.291815358E-1,1.608907872E0,-2.982270602E0,3.415657956E0
1.608355000E-1,-1.132275304E-1,2.073452491E0,-2.919644583E0,3.582785257E0
1.708695000E-1,-1.689893563E-1,2.080746016E0,-2.863668603E0,3.543819868E0
1.809045000E-1,-9.276262647E-1,1.819040138E0,-2.408844103E0,3.157835877E0
1.909385000E-1,-8.867660679E-1,1.064009646E0,-1.905768964E0,2.355934195E0
2.009735000E-1,-1.010657019E0,3.634828055E-1,-1.208435873E0,1.616745069E0
2.110075000E-1,-9.223066141E-1,-2.632653299E-1,-3.726746285E-1,1.029001702E0
2.210425000E-1,-2.492482384E-1,-8.580613554E-1,3.932369471E-2,8.943938321E-1
2.310765000E-1,3.390816437E-1,-1.435953665E0,2.970093191E-1,1.505042798E0
2.411105000E-1,8.420534331E-1,-1.608160890E0,7.431565511E-1,1.961508882E0
2.511455000E-1,1.275303608E0,-1.450966099E0,1.441335735E0,2.410217959E0
2.611795000E-1,1.660788316E0,-1.382744003E0,2.033592022E0,2.967439186E0
2.712145000E-1,1.768343170E0,-1.433529117E0,2.453291713E0,3.346742226E0
2.812485000E-1,1.341690702E0,-1.471660857E0,2.750429671E0,3.395700663E0
2.912835000E-1,6.069541410E-1,-1.279603504E0,3.086987802E0,3.396361605E0
3.013175000E-1,6.386211991E-2,-8.373929098E-1,3.349131929E0,3.452823472E0
3.113515000E-1,-2.377793634E-1,-6.170382491E-1,3.191267046E0,3.259058236E0
3.213865000E-1,-2.284632871E-1,-5.589058158E-1,2.663420763E0,2.731003725E0
3.314205000E-1,7.387766942E-2,-4.928945518E-1,1.956845562E0,2.019318574E0
3.414555000E-1,3.292219225E-1,-4.955015329E-1,1.314673934E0,1.443009493E0
3.514895000E-1,3.704406998E-1,-6.126005048E-1,7.885438085E-1,1.065038510E0
3.615245000E-1,2.498376377E-1,-5.421988589E-1,5.150736254E-1,7.884790976E-1
3.715585000E-1,3.340660483E-1,-3.383038178E-1,4.723281401E-1,6.701816692E-1
3.815925000E-1,4.298897798E-1,-2.073375893E-1,5.297776186E-1,7.130627069E-1
3.916275000E-1,5.151923239E-1,-1.759924203E-1,5.592540175E-1,7.804880004E-1
4.016615000E-1,4.999059480E-1,-1.619383451E-1,5.323281741E-1,7.479995117E-1
4.116965000E-1,3.205861697E-1,-6.688922346E-2,6.166134489E-1,6.981846501E-1
4.217305000E-1,1.794932945E-1,4.949434161E-2,9.027422690E-1,9.217435310E-1
