"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.634554169E-2,-7.989521447E-1,1.251343326E0,-5.356704426E-1,1.578330597E0
2.637954173E-2,-4.804613248E-1,1.670320009E0,-8.019666767E-1,1.914148000E0
3.641354165E-2,2.675451994E-2,2.316999256E0,-9.758657938E-1,2.514262397E0
4.644854169E-2,3.059576055E-1,2.677969220E0,-1.098843849E0,2.910770861E0
5.648254172E-2,2.965479738E-1,2.741231124E0,-1.140601739E0,2.983833290E0
6.651654164E-2,-5.928404242E-2,2.870271279E0,-1.040621953E0,3.053664334E0
7.655154169E-2,-4.114787981E-1,3.056948024E0,-7.224936604E-1,3.168003017E0
8.658554172E-2,-7.350447088E-1,3.265719643E0,-4.096956897E-1,3.372397674E0
9.661954164E-2,-9.869810584E-1,3.439750907E0,-1.261273652E-1,3.580771708E0
1.066545417E-1,-1.311776346E0,3.588425429E0,1.984755492E-1,3.825826288E0
1.166885417E-1,-1.511109974E0,3.557105987E0,3.033745980E-1,3.876659968E0
1.267225416E-1,-1.848726160E0,2.938581084E0,1.975049114E-1,3.477363281E0
1.367575417E-1,-2.086903426E0,2.406957791E0,9.334495068E-2,3.187055851E0
1.467915417E-1,-1.992311264E0,2.604295473E0,9.173930526E-2,3.280255353E0
1.568255418E-1,-1.376434272E0,2.376123084E0,-5.659151655E-1,2.803710433E0
1.668605417E-1,-7.262423104E-1,1.768599717E0,-1.508752962E0,2.435509875E0
1.768945417E-1,-7.357843816E-1,1.342242386E0,-2.102226639E0,2.600451908E0
1.869285417E-1,-7.222917853E-1,9.670806447E-1,-2.473011448E0,2.751860465E0
1.969635417E-1,-5.689902163E-1,5.326374918E-1,-2.015976700E0,2.161391825E0
2.069975417E-1,-4.896844304E-1,-4.438592166E-2,-1.323443003E0,1.411829428E0
2.170315417E-1,-1.937973382E-1,-6.121523157E-1,-1.515844465E0,1.646229725E0
2.270655417E-1,3.112089899E-1,-9.428828198E-1,-2.169295372E0,2.385732898E0
2.371005417E-1,5.487038863E-1,-1.096433334E0,-2.422365789E0,2.714976617E0
2.471345417E-1,5.499869116E-1,-1.477801895E0,-1.888660011E0,2.460370030E0
2.571685417E-1,4.630804762E-1,-1.838923010E0,-7.595433730E-1,2.042789147E0
2.672035417E-1,6.776405463E-1,-1.820755126E0,-3.902794254E-1,1.981581179E0
2.772380001E-1,7.376578295E-1,-1.947915695E0,-2.398785138E-1,2.096677450E0
2.872720000E-1,8.389444685E-1,-1.471576657E0,3.638657981E-1,1.732559955E0
2.973070000E-1,1.325763471E0,-1.526818519E0,5.562877250E-1,2.097207573E0
3.073410001E-1,1.582733104E0,-1.564183689E0,7.520665383E-1,2.348897352E0
3.173750000E-1,1.854149014E0,-1.387637245E0,9.219012558E-1,2.492650720E0
3.274100000E-1,1.955881941E0,-1.068136319E0,8.901040971E-1,2.399723873E0
3.374440001E-1,1.739014706E0,-7.483933175E-1,9.643081874E-1,2.124654086E0
3.474780000E-1,1.492205049E0,-6.275033033E-1,1.110424844E0,1.963028181E0
3.575130000E-1,1.301451918E0,-6.504711664E-1,1.257379991E0,1.922990971E0
3.675470001E-1,1.152115492E0,-6.334604466E-1,1.470706884E0,1.972719185E0
3.775810000E-1,9.353881511E-1,-5.915060896E-1,1.826889440E0,2.135967105E0
3.876160000E-1,6.277569263E-1,-5.775482011E-1,2.095614023E0,2.262573494E0
3.976500001E-1,3.927169834E-1,-6.011159885E-1,2.108867322E0,2.227754125E0
4.076840000E-1,3.891598298E-1,-7.131120953E-1,1.973163387E0,2.133857536E0
4.177190000E-1,4.139741705E-1,-7.756354952E-1,1.638464670E0,1.859449249E0
4.277530001E-1,4.716372916E-1,-7.424306193E-1,1.293024618E0,1.563827875E0
4.377870000E-1,5.650372061E-1,-6.913265392E-1,1.149159139E0,1.455254670E0
4.478220000E-1,6.043217976E-1,-6.303272161E-1,1.105678659E0,1.408915374E0
4.578560001E-1,4.594853888E-1,-5.597709113E-1,1.092186209E0,1.310473583E0
4.678900000E-1,3.404548623E-1,-5.024480250E-1,1.103780068E0,1.259640413E0
4.779240000E-1,2.220920147E-1,-4.871245193E-1,9.793057108E-1,1.116089080E0
4.879590000E-1,4.036091767E-2,-4.629676250E-1,6.720807213E-1,8.171049635E-1
4.979930001E-1,4.239048623E-2,-3.339441338E-1,4.673369569E-1,5.759509259E-1
5.080270000E-1,1.031835488E-1,-7.207161069E-2,2.575873911E-1,2.866922146E-1
5.180620000E-1,2.832458505E-1,1.601362333E-1,5.227118433E-2,3.295513643E-1
5.280960001E-1,6.829096916E-1,1.761573118E-1,7.107524514E-2,7.088361840E-1
5.381300000E-1,9.024624067E-1,1.500018391E-1,1.072081143E-1,9.211039719E-1
5.481650000E-1,9.234650937E-1,-8.422914147E-3,4.392369926E-2,9.245474656E-1
5.581990001E-1,8.211242748E-1,-1.933185974E-1,-1.042213565E-1,8.499877916E-1
5.682330000E-1,6.710259566E-1,-3.799158204E-1,-3.039142960E-1,8.288400113E-1
5.782680000E-1,4.786459105E-1,-5.959046575E-1,-5.995290542E-1,9.714110125E-1
5.883020001E-1,3.635987996E-1,-7.891636133E-1,-7.393821734E-1,1.140907224E0
5.983360000E-1,4.209913043E-1,-8.941746363E-1,-6.845575100E-1,1.202248287E0
6.083710000E-1,5.261614812E-1,-8.009334737E-1,-5.851127440E-1,1.122807756E0
6.184050001E-1,5.444912598E-1,-5.550250188E-1,-4.898200858E-1,9.189380936E-1
6.284390000E-1,6.091417305E-1,-3.481148610E-1,-4.866128880E-1,8.538323647E-1
6.384740000E-1,7.232847156E-1,-1.877728057E-1,-4.166275638E-1,8.555570895E-1
6.485080001E-1,8.166236729E-1,-9.660711229E-2,-6.313297212E-2,8.247380975E-1
6.585420000E-1,7.459197260E-1,-1.411345366E-1,3.719010419E-1,8.453552981E-1
6.685770000E-1,6.510235090E-1,-2.198152551E-1,5.626202595E-1,8.880832799E-1
6.786110001E-1,5.690816521E-1,-3.374290743E-1,4.371799421E-1,7.929934481E-1
6.886450000E-1,4.214328787E-1,-4.722433555E-1,8.666509151E-2,6.388507621E-1
6.986800000E-1,1.320383886E-1,-5.007760137E-1,-4.237184823E-1,6.691398241E-1
7.087140001E-1,-3.002425187E-1,-4.183890375E-1,-9.111669374E-1,1.046623210E0
7.187480000E-1,-6.158218820E-1,-4.274709329E-1,-1.162971432E0,1.383643936E0
7.287830000E-1,-6.967284163E-1,-4.711487567E-1,-1.115924150E0,1.397389833E0
7.388170001E-1,-4.383213917E-1,-3.567900825E-1,-8.291696781E-1,1.003467568E0
7.488510000E-1,-1.144210933E-1,-2.372513598E-1,-4.114960474E-1,4.885789510E-1
7.588850000E-1,1.892291278E-1,-2.844103235E-1,9.492270488E-1,1.008825498E0
7.689200001E-1,1.021282726E-1,-7.717476815E-2,1.278155149E0,1.284549226E0
7.789540000E-1,-4.461068863E-1,-7.930520117E-2,1.674736118E-1,4.830611551E-1
7.889880000E-1,-2.037674256E-1,-3.980430660E-1,2.503040993E-1,5.124564257E-1
7.990230001E-1,-4.054004712E-1,-6.629391843E-1,-4.411040086E-1,8.935382759E-1
8.090570000E-1,-2.888449980E-1,-8.042947456E-1,-9.015131843E-1,1.242194627E0
8.190910000E-1,-1.875320466E-1,-9.349633509E-1,-9.822538769E-1,1.368995038E0
8.291260001E-1,-5.218159402E-2,-9.235571873E-1,-9.202388924E-1,1.304806659E0
8.391600000E-1,2.831020090E-1,-7.005952531E-1,-4.887155467E-1,8.999018512E-1
8.491940000E-1,4.895765492E-1,-2.938424671E-1,1.188019735E-1,5.832173711E-1
8.592290001E-1,1.021373723E0,7.342728764E-2,6.676426846E-1,1.222433067E0
8.692630000E-1,1.613820557E0,2.821901357E-1,7.173253065E-1,1.788464050E0
8.792970000E-1,1.780980904E0,4.331430244E-1,7.470806175E-1,1.979301722E0
8.893320000E-1,1.967339268E0,6.130852389E-1,3.601253343E-1,2.091886126E0
8.993660001E-1,1.724365531E0,7.342880791E-1,-6.192914736E-1,1.973863571E0
9.094000000E-1,4.291335156E-1,6.342398804E-1,-5.422614241E-1,9.383300337E-1
9.194350000E-1,-1.335364307E0,1.891050938E-1,1.463700750E0,1.990321193E0
9.294690001E-1,-1.042538524E0,-1.488253793E-1,2.988746393E0,3.168854773E0
9.395030000E-1,-8.202373618E-2,-4.195961952E-3,1.283255675E0,1.285881265E0
9.495380000E-1,-6.893569777E-1,1.761827472E-1,1.846848911E-1,7.350931316E-1
9.595720001E-1,-6.319736458E-1,1.868980622E-1,6.023181760E-1,8.928094757E-1
9.696060000E-1,-6.265747654E-1,4.845909208E-2,7.820709407E-1,1.003284195E0
9.796410000E-1,-8.855119132E-1,-3.315868288E-2,9.218012685E-1,1.278651018E0
9.896750001E-1,-6.891946444E-1,-9.485353231E-3,1.277221933E0,1.451335625E0
9.997090000E-1,-5.966848223E-1,3.284673393E-2,1.344277217E0,1.471119615E0
1.009743000E0,-3.382079235E-1,-1.169343728E-1,8.709813631E-1,9.416298539E-1
1.019778000E0,-2.876803789E-1,-5.379827240E-1,1.204643369E-2,6.101889283E-1
1.029812000E0,-8.675093595E-1,-5.951223001E-1,3.189129889E-2,1.052501827E0
1.039846000E0,-9.751553571E-1,-1.607709485E-1,5.229784763E-1,1.118159986E0
1.049881000E0,-7.495205145E-1,-1.853476730E-1,1.072766436E0,1.321727123E0
1.059915000E0,-4.271781336E-1,-2.664377367E-1,1.578471068E0,1.656816567E0
1.069949000E0,-1.049218529E-1,-5.796549529E-2,1.135574303E0,1.141883353E0
1.079984000E0,-7.188119611E-1,-4.264491320E-1,-2.149793154E-1,8.629980322E-1
1.090018000E0,-6.419991356E-1,-1.004165733E0,-7.668857217E-2,1.194316895E0
1.100052000E0,-1.954272495E-1,-9.095554447E-1,1.685617202E0,1.925302124E0
1.110087000E0,-5.769520774E-2,-2.132216424E-1,1.038766047E0,1.061992046E0
1.120121000E0,1.145372044E0,-6.645290422E-1,1.018239981E-1,1.328097923E0
1.130155000E0,1.037746292E-1,-1.106428857E0,-5.028149378E-1,1.219744584E0
1.140190000E0,-3.571499786E-1,-1.070057421E0,-1.309488038E0,1.728391713E0
1.150224000E0,-3.191261199E-1,-6.002734047E-1,-1.335630355E0,1.498692125E0
