"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.216166679E-3,-8.313278854E-3,-6.422961742E-1,-1.156582180E0,1.322987462E0
1.425016671E-2,-3.092987046E-1,-2.793536514E-1,-1.180095588E0,1.251530962E0
2.428416663E-2,-5.422073373E-1,2.565571117E-1,-1.264693689E0,1.399735859E0
3.431916668E-2,-3.032781190E-1,3.411832792E-1,-1.468262163E0,1.537588185E0
4.435316671E-2,-3.511390409E-1,2.274794930E-1,-1.522236641E0,1.578686143E0
5.438716663E-2,-3.385312745E-1,-2.832818109E-1,-1.316370211E0,1.388410077E0
6.442116667E-2,1.971125633E-2,-4.864456576E-1,-1.079650363E0,1.184340668E0
7.445516670E-2,2.850900623E-1,-6.500449044E-1,-9.666014653E-1,1.199230217E0
8.448916662E-2,2.500436059E-1,-6.117012030E-1,-8.362582576E-1,1.065846162E0
9.452416666E-2,3.261847325E-1,-2.717323905E-1,-7.289829004E-1,8.435941209E-1
1.045581667E-1,3.531082369E-1,-1.662831187E-2,-7.812236792E-1,8.574802416E-1
1.145921666E-1,2.834797391E-1,-1.995537758E-2,-9.959591657E-1,1.035709245E0
1.246261667E-1,2.001037064E-1,-1.941766763E-1,-1.126728051E0,1.160716234E0
1.346601667E-1,-1.336995095E-2,-3.669899654E-1,-1.196789973E0,1.251865261E0
1.446941666E-1,-1.620004718E-1,-5.132241511E-1,-1.332562321E0,1.437137962E0
1.547281666E-1,-1.364544252E-1,-6.425025809E-1,-1.380660932E0,1.528938843E0
1.647631667E-1,4.375756525E-2,-7.356715304E-1,-1.272580413E0,1.470574117E0
1.747971666E-1,2.436648783E-1,-6.470446980E-1,-1.126062638E0,1.321384304E0
1.848311666E-1,5.157029320E-1,-3.031658524E-1,-6.956526017E-1,9.174920111E-1
1.948655416E-1,8.480930221E-1,8.135348082E-2,1.447033846E-1,8.641870356E-1
2.048995417E-1,7.024882892E-1,8.926593304E-2,6.868999046E-1,9.865544497E-1
2.149335416E-1,5.803744528E-1,-7.727563262E-2,5.793269241E-1,8.236660208E-1
2.249685416E-1,1.330671697E-1,-2.144191521E-1,1.129109037E-1,2.764621432E-1
2.350025417E-1,-5.246170123E-1,-2.104348594E-1,-3.167430872E-1,6.479444597E-1
2.450365416E-1,-7.874671899E-1,-3.026203072E-1,-1.052644998E-1,8.501554213E-1
2.550705416E-1,-8.117828362E-1,-6.448794740E-1,4.188793266E-1,1.118177445E0
2.651045417E-1,-4.365757786E-1,-8.940427816E-1,7.819469798E-1,1.265445370E0
2.751385417E-1,-2.868838419E-1,-8.047084361E-1,6.634011143E-1,1.081646451E0
2.851735416E-1,-2.981116654E-1,-4.847821248E-1,3.566491646E-1,6.716270543E-1
2.952075417E-1,1.787707248E-1,-1.460739720E-1,1.267267048E-2,2.312080750E-1
3.052415417E-1,5.646230771E-1,4.274080753E-2,-3.961090994E-1,6.910343077E-1
3.152755416E-1,4.264615573E-1,1.061152697E-2,-6.222367162E-1,7.544273294E-1
3.253095417E-1,-1.539294139E-2,-1.548559052E-1,-2.849541146E-1,3.246785201E-1
3.353435417E-1,-8.728284985E-3,-2.323414528E-1,-1.254520118E-1,2.641911068E-1
3.453775416E-1,2.117181040E0,6.829696986E-1,-1.725932000E0,2.815625052E0
3.554125417E-1,3.838845303E0,2.083244531E0,-1.874454201E0,4.752916955E0
3.654465417E-1,1.449725466E0,2.039892982E0,-3.160595477E-2,2.502771711E0
