"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.466416621E-3,1.142457134E-1,-3.310751975E-2,-6.647524059E-2,1.362613243E-1
1.850041666E-2,5.557045383E-1,2.323648417E-1,-5.292256415E-1,8.017984367E-1
2.853441657E-2,5.339356833E-1,3.291508788E-1,-6.090874976E-1,8.743084094E-1
3.856841661E-2,2.868668850E-1,2.571745777E-1,-3.912652659E-1,5.491082602E-1
4.860241665E-2,2.738075674E-2,1.650800541E-1,-8.315091491E-2,1.868561071E-1
5.863641668E-2,-6.747478556E-2,1.097642246E-1,9.770288050E-2,1.616999831E-1
6.867041660E-2,3.008151256E-2,1.043552577E-1,7.690608859E-2,1.330769089E-1
7.870441664E-2,2.281197266E-1,1.173740834E-1,-4.883886874E-2,2.611522931E-1
8.873841667E-2,3.390241582E-1,9.172117889E-2,-1.612632841E-1,3.864660416E-1
9.877241659E-2,2.968373378E-1,6.437521309E-2,-1.867980748E-1,3.565811183E-1
1.088064166E-1,1.454613665E-1,8.410664231E-2,-7.307557762E-2,1.832293003E-1
1.188404167E-1,1.671360813E-2,1.072908524E-1,1.127541983E-1,1.565381134E-1
1.288744166E-1,-7.788494904E-2,6.068737417E-2,2.186683238E-1,2.399267773E-1
1.389084166E-1,-1.349862076E-1,5.557778478E-3,2.154254580E-1,2.542838828E-1
1.489424167E-1,-7.403844958E-2,-5.138386935E-2,1.689324921E-1,1.914684855E-1
1.589764167E-1,2.073831975E-2,-8.101404995E-2,1.436970788E-1,1.662594498E-1
1.690104166E-1,8.022993833E-2,-8.661743671E-2,7.640556693E-2,1.406315541E-1
1.790444166E-1,1.470705203E-1,-7.298260689E-2,4.443883896E-3,1.642435598E-1
1.890784167E-1,1.481908468E-1,-7.015138507E-2,-6.880827963E-2,1.778097951E-1
1.991124166E-1,1.086848103E-1,-4.416285038E-2,-1.171782017E-1,1.658115686E-1
2.091464166E-1,1.020921477E-1,-3.836767495E-2,-9.958509922E-2,1.476891232E-1
2.191804167E-1,1.173470218E-1,-3.626150787E-2,-6.365629792E-2,1.383377921E-1
2.292144166E-1,1.346315374E-1,-1.963962793E-2,-6.515260041E-2,1.508516728E-1
2.392484166E-1,1.476217117E-1,-4.291943997E-2,-3.813846409E-2,1.583944145E-1
2.492814166E-1,1.129427345E-1,-4.205434442E-2,-7.729960620E-2,1.431777157E-1
2.593154167E-1,4.925831510E-2,2.977840751E-2,-1.069467437E-1,1.214526293E-1
2.693494166E-1,2.454790866E-2,6.288709670E-2,-8.926417887E-2,1.119172926E-1
2.793834166E-1,1.411225498E-3,2.830286264E-2,-7.069225252E-2,7.616060765E-2
2.894174167E-1,-2.819198482E-2,-1.185903043E-2,-2.698490024E-2,4.078736877E-2
2.994514166E-1,7.851001639E-3,-9.137151539E-3,1.055071592E-2,1.601384936E-2
3.094854166E-1,7.919054093E-2,-3.368317813E-2,1.807198942E-2,8.793346953E-2
3.195194167E-1,9.827203386E-2,-5.423146337E-2,1.336205721E-2,1.130353433E-1
3.295534166E-1,7.500190627E-2,-5.101110935E-2,1.674350202E-2,9.223754160E-2
3.395874166E-1,5.544198319E-2,-4.748436123E-2,2.011617601E-2,7.571815238E-2
3.496214167E-1,5.192941457E-2,-5.040270656E-2,1.540565908E-2,7.398939963E-2
3.596554167E-1,-6.136141196E-3,-6.892317742E-2,1.957413912E-2,7.191108077E-2
3.696894166E-1,-1.394655950E-2,-5.488225847E-2,6.351245642E-3,5.698163861E-2
3.797234166E-1,3.226913866E-2,-1.174237847E-2,-1.052498817E-3,3.435532732E-2
3.897574167E-1,6.838384487E-2,3.697808415E-2,-2.990090668E-2,8.329341610E-2
3.997914166E-1,7.576522373E-2,6.872291028E-2,-6.643840313E-2,1.219724105E-1
