"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.647766669E-2,-6.436527282E-2,-8.617626429E-2,3.009614521E-1,3.196044939E-1
3.651166667E-2,-6.852059662E-2,-6.851474941E-2,1.900011796E-1,2.132833591E-1
4.654566670E-2,-2.924528763E-2,-5.562573195E-2,7.587054670E-2,9.851826612E-2
5.658066669E-2,-2.690084651E-2,-2.216036260E-2,3.109198451E-2,4.670598157E-2
6.661466666E-2,-8.682428196E-2,-2.546170056E-2,-3.113642335E-3,9.053424160E-2
7.664866670E-2,-7.075013995E-2,-5.372304797E-2,-2.805143237E-2,9.315917048E-2
8.668266668E-2,-3.630170748E-2,-3.225148737E-2,-1.615211463E-1,1.686625421E-1
9.671766666E-2,-1.440227687E-2,6.182845831E-3,-2.525798357E-1,2.530656566E-1
1.067516667E-1,-1.984691173E-3,1.600149035E-2,-2.664143479E-1,2.669018386E-1
1.167856667E-1,-2.012187704E-2,2.751231909E-2,-2.513934356E-1,2.536936678E-1
1.268196666E-1,-5.049509257E-3,2.919222414E-2,-2.058687687E-1,2.079895031E-1
1.368546667E-1,-4.701395273E-2,-5.333011508E-2,-1.591366518E-1,1.742954011E-1
1.468886667E-1,-5.087443069E-2,-6.012633383E-2,-1.225868762E-1,1.457083591E-1
1.569226667E-1,2.124907404E-2,-3.292157829E-2,-5.967200518E-2,7.138698527E-2
1.669566667E-1,7.547132805E-2,-4.106031775E-2,4.431195438E-2,9.667171434E-2
1.769916667E-1,1.259924407E-1,-5.563918054E-2,1.393449962E-1,1.959256020E-1
1.870256667E-1,1.446193309E-1,9.069031477E-4,8.373680592E-2,1.671150083E-1
1.970596667E-1,9.280993044E-2,2.367128313E-2,7.336501479E-3,9.606163172E-2
2.070936667E-1,1.089387439E-1,3.055696428E-2,7.156991959E-4,1.131454383E-1
2.171286667E-1,6.541119352E-2,3.545342267E-2,4.424588084E-3,7.453285447E-2
2.271626667E-1,-4.251159668E-2,4.622867167E-2,-2.120200396E-3,6.283964661E-2
2.371966667E-1,-8.325236410E-2,2.293745756E-2,-2.179900467E-2,8.906334651E-2
2.472306667E-1,-8.369923756E-2,1.929581165E-3,8.563247323E-3,8.415827265E-2
2.572656667E-1,-4.296636388E-2,-3.462838054E-2,7.189151645E-2,9.062904226E-2
2.672996667E-1,-1.287542269E-2,-3.401793122E-2,7.575535655E-2,8.403493440E-2
2.773336667E-1,6.246828988E-2,9.035702348E-3,1.127705705E-1,1.292328624E-1
2.873676667E-1,1.730201344E-1,7.496656716E-2,2.615447867E-1,3.224308120E-1
2.974026667E-1,2.009899981E-1,8.486064076E-3,1.443040198E-1,2.475735098E-1
3.074366667E-1,2.463898270E-1,9.967105329E-2,-2.014254695E-1,3.334883588E-1
3.174706667E-1,2.336640930E-1,1.058422047E-1,-3.916131753E-1,4.681477969E-1
3.275046667E-1,2.167229551E-1,3.245438576E-2,-1.156930089E-1,2.478043558E-1
3.375396667E-1,7.799732521E-2,-1.882739121E-1,8.216852421E-1,8.465797574E-1
3.475736667E-1,-2.002099796E-1,-1.640635157E-1,8.745686299E-1,9.120697130E-1
3.576076667E-1,-2.467745738E-1,-7.322702050E-2,3.716425949E-1,4.520819673E-1
3.676416667E-1,-1.603386931E-1,-7.893507242E-2,4.655202270E-2,1.846789998E-1
3.776766667E-1,-5.657444268E-2,-6.053388476E-2,-1.962892753E-1,2.130598469E-1
3.877106667E-1,-3.958491907E-2,-5.027436018E-3,-2.582808709E-1,2.613450769E-1
3.977446667E-1,-4.051886559E-2,1.985129714E-3,-2.340020621E-1,2.374924931E-1
4.077786667E-1,-5.704777479E-2,7.413684726E-3,-1.687091285E-1,1.782475284E-1
4.178136667E-1,-7.321751878E-2,6.791540980E-3,-1.430053532E-1,1.608025533E-1
4.278476667E-1,-4.178814992E-2,-1.036711335E-3,-1.467516643E-1,1.525889092E-1
4.378816667E-1,2.999855518E-2,-3.765606880E-4,-1.690956295E-1,1.717363881E-1
4.479156667E-1,6.541353241E-2,-5.228814125E-2,-1.677536935E-1,1.874947509E-1
4.579506667E-1,7.233225033E-2,-4.861784399E-2,-1.603949726E-1,1.825436836E-1
4.679846667E-1,8.401542574E-2,-2.509332597E-2,-1.571842664E-1,1.799865561E-1
4.780186667E-1,1.268430644E-1,-4.872309387E-2,-1.516077769E-1,2.035878702E-1
4.880526667E-1,1.810768667E-1,-4.554045439E-2,-8.923201919E-2,2.069423057E-1
4.980876667E-1,2.025653842E-1,-3.111888170E-2,-2.403088689E-2,2.063458340E-1
5.081216667E-1,2.103266859E-1,-3.321452379E-2,2.745852470E-2,2.146962738E-1
5.181556667E-1,1.456729992E-1,-3.350220680E-2,5.454107344E-2,1.591155217E-1
5.281896667E-1,6.029444128E-2,-3.594692767E-2,2.475184858E-2,7.443289102E-2
5.382246667E-1,1.229304001E-2,-2.293453395E-2,3.281457424E-2,4.187968437E-2
5.482586667E-1,-3.155157566E-2,3.831271112E-2,5.189403892E-2,7.180777837E-2
5.582926667E-1,-4.768813670E-2,6.481638551E-2,4.144214094E-2,9.051393957E-2
5.683266667E-1,2.069797397E-2,-9.659015536E-3,1.576000035E-2,2.775032105E-2
5.783616667E-1,1.221343017E-1,-2.309650183E-2,7.019582391E-2,1.427504457E-1
5.883956667E-1,8.319403812E-2,-1.425434232E-2,9.983477533E-2,1.307341448E-1
5.984296667E-1,-3.106771857E-3,-2.368531644E-2,1.565890199E-1,1.584006547E-1
6.084636667E-1,-9.367210239E-2,-2.469980836E-2,2.733035374E-1,2.899644234E-1
6.184986667E-1,-1.633662352E-1,5.854817033E-3,3.927685851E-1,4.254291564E-1
6.285326667E-1,-2.041584581E-1,-3.776658118E-2,4.236243421E-1,4.717674998E-1
6.385666667E-1,-1.986312313E-1,-8.015070856E-2,3.598171860E-1,4.187444441E-1
6.486006667E-1,-9.048171535E-2,-2.562776148E-2,2.869602942E-1,3.019767101E-1
6.586356667E-1,4.001118109E-2,-2.755792737E-3,-7.222340441E-1,7.233467380E-1
6.686696667E-1,2.707547361E-1,2.351492858E-1,-2.947748641E0,2.969482339E0
6.787036667E-1,1.719531637E-1,1.329446340E-1,7.966369396E-1,8.257557628E-1
6.887376667E-1,8.323058322E-2,-1.381170809E-2,6.976137578E-2,1.094748501E-1
6.987726667E-1,1.469821908E-1,-7.825738013E-2,-1.075405869E0,1.088221377E0
7.088066667E-1,-6.978900388E-2,-1.007902104E-1,3.496564794E-1,3.705250668E-1
7.188406667E-1,-1.600377077E-1,-4.538024068E-3,-3.136738837E-1,3.521703662E-1
7.288746667E-1,-1.242258507E-1,3.733505666E-2,-3.619502503E-1,3.844918102E-1
7.389096667E-1,-1.001742062E-1,1.035097504E-1,-1.017836523E-1,1.763775833E-1
7.489436667E-1,1.994631439E-3,4.662920594E-2,-3.911892521E-1,3.939635673E-1
7.589777083E-1,5.029073238E-2,-4.880904794E-2,-4.464407623E-1,4.519079941E-1
7.690117083E-1,1.643827736E-2,-2.547631860E-2,-5.592785758E-1,5.600997992E-1
7.790467084E-1,-2.584352374E-2,2.307837546E-2,-5.980140406E-1,5.990169379E-1
7.890807083E-1,4.598542750E-2,-5.189286947E-2,-4.281015551E-1,4.336801482E-1
7.991147083E-1,1.630108707E-1,-2.219872034E-1,-2.286214542E-1,3.579366309E-1
