"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.118875044E-3,-7.435494840E-1,6.640253046E-1,-8.086670011E-1,1.283642380E0
1.715387509E-2,-8.447908071E-1,5.883214036E-1,-5.297764492E-1,1.157780924E0
2.718787501E-2,-8.473679674E-1,2.916026911E-1,-2.979045278E-1,9.443578290E-1
3.722187504E-2,-8.907393971E-1,1.297561473E-1,-1.698867577E-1,9.160321183E-1
4.725587508E-2,-9.723785144E-1,1.292693666E-1,2.021850228E-2,9.811418512E-1
5.728987500E-2,-8.943322188E-1,9.231437892E-2,1.184031934E-1,9.068469431E-1
6.732487504E-2,-7.371485370E-1,4.945370346E-2,1.726653546E-1,7.587140167E-1
7.735887507E-2,-6.625462514E-1,6.506606162E-2,2.615231520E-1,7.152590347E-1
8.739287499E-2,-7.255073154E-1,9.195360571E-2,3.986035216E-1,8.328872059E-1
9.742687503E-2,-8.053586465E-1,1.113555443E-1,5.151174796E-1,9.624700642E-1
1.074618751E-1,-8.448220897E-1,8.288369715E-2,4.945212471E-1,9.824181057E-1
1.174958750E-1,-9.547257704E-1,9.141887784E-2,4.223233366E-1,1.047957875E0
1.275298750E-1,-1.216937724E0,1.133818969E-1,3.337087834E-1,1.266946894E0
1.375638751E-1,-1.348348195E0,1.351677454E-1,2.749758410E-1,1.382723721E0
1.475988750E-1,-1.403003143E0,1.863721052E-1,2.256662714E-1,1.433205375E0
1.576328750E-1,-1.248163610E0,3.088712731E-1,1.918629330E-1,1.300048171E0
1.676668751E-1,-9.774018574E-1,3.850686792E-1,1.999315059E-1,1.069375933E0
1.777008751E-1,-5.842685522E-1,3.850815430E-1,1.271231461E-1,7.112087107E-1
1.877348750E-1,-4.852136493E-1,2.730877751E-1,2.011605906E-1,5.920091229E-1
1.977698751E-1,-3.623310502E-1,-4.794541419E-2,2.807903123E-1,4.608966827E-1
2.078038751E-1,-3.794857576E-2,-4.650866559E-1,-2.978279293E-2,4.675817647E-1
2.178378750E-1,-2.436936758E-1,-6.540470311E-1,-3.147772533E-1,7.656688878E-1
2.278718750E-1,-6.708606997E-1,-4.501940900E-1,-4.351310778E-1,9.176425513E-1
2.379068751E-1,-9.884438856E-1,-2.094104272E-1,-5.178241557E-1,1.135348360E0
