"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.382333300E-3,-1.222267242E-2,-3.481059439E-2,-3.635798693E-2,5.179840168E-2
1.541633334E-2,-4.484211411E-3,-2.614524007E-2,-7.822989821E-3,2.765648025E-2
2.545133332E-2,5.087790247E-3,-3.045003332E-2,2.010214269E-2,3.684000923E-2
3.548633331E-2,7.113265749E-3,-2.221444935E-2,1.030981064E-2,2.550240194E-2
4.552133329E-2,4.330849908E-3,-1.336841606E-2,-1.816963792E-2,2.296968765E-2
5.555633333E-2,3.815344758E-3,-5.454575121E-3,-2.090262651E-2,2.193693325E-2
6.559033331E-2,1.596436054E-3,2.857826650E-3,-3.827938199E-2,3.841909508E-2
7.562533329E-2,8.574576303E-4,8.008346558E-3,-4.202803195E-2,4.279280684E-2
8.566033334E-2,-7.957768142E-3,1.002746321E-2,-5.039305866E-2,5.199361935E-2
9.569533332E-2,-7.424063534E-3,9.562097937E-3,-2.821340024E-2,3.070091838E-2
1.057293333E-1,-1.511375511E-2,4.868757203E-3,-7.521273494E-3,1.756985900E-2
1.157643333E-1,-2.236664141E-2,3.750331029E-3,-6.431937218E-6,2.267888163E-2
1.257993333E-1,-3.443112837E-2,6.166765988E-3,2.426302135E-2,4.257024558E-2
1.358343333E-1,-3.438031241E-2,1.652562015E-2,2.608150542E-2,4.620981419E-2
1.458693333E-1,-3.257988162E-2,1.320250131E-2,3.265260637E-2,4.797861430E-2
1.559033333E-1,-2.098218519E-2,2.401992336E-2,2.663523674E-2,4.155291385E-2
1.659383333E-1,-1.592127386E-2,2.695990339E-2,1.328955173E-2,3.401375512E-2
1.759733333E-1,-4.592878260E-3,1.795416802E-2,-4.987674952E-4,1.853902503E-2
1.860083333E-1,-8.608343974E-3,1.081194028E-2,-1.578865170E-2,2.098292547E-2
1.960423333E-1,-1.498871606E-2,1.319548465E-2,-2.568097115E-2,3.253144176E-2
2.060773333E-1,-7.500972692E-3,5.214327648E-3,-2.343330145E-2,2.515101232E-2
2.161123333E-1,-2.787075341E-3,6.386328936E-3,-2.776257992E-2,2.862365857E-2
2.261473333E-1,9.751164000E-3,-2.195702568E-3,-3.044645190E-2,3.204516723E-2
2.361823333E-1,1.773745559E-2,-2.290939093E-3,-2.086052656E-2,2.747776012E-2
2.462163333E-1,1.892045695E-2,-4.295364618E-3,-1.216279328E-2,2.289906961E-2
2.562513333E-1,1.916059479E-2,-1.048354603E-2,1.930750608E-3,2.192626115E-2
2.662863333E-1,2.294109380E-2,-1.513295956E-2,1.346613765E-2,3.060452765E-2
2.763213333E-1,1.497267276E-2,-2.451313600E-2,2.095291257E-2,3.555417432E-2
2.863563333E-1,1.054665942E-2,-1.248161271E-3,1.584478498E-2,1.907477765E-2
2.963903333E-1,-9.181224927E-3,-1.104992196E-2,2.405486047E-2,2.801842213E-2
3.064253333E-1,-3.319800541E-2,-1.308716498E-2,1.985129714E-2,4.083448847E-2
3.164603333E-1,-4.534166733E-2,-1.721639559E-2,4.560243487E-3,4.871413443E-2
3.264953333E-1,-3.188757129E-2,-1.814047493E-2,-1.057585895E-2,3.818039845E-2
3.365293333E-1,-3.441808177E-2,-1.693273254E-2,-2.317017674E-2,4.481270885E-2
