"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.698541671E-3,-2.633533305E-1,-7.302470684E-2,-3.041926235E-1,4.089263218E-1
1.873254171E-2,-1.503685692E-1,-2.893939054E-1,1.645371401E-1,3.652834647E-1
2.876754163E-2,-7.385486528E-2,-3.594477881E-1,6.889780051E-1,7.806074205E-1
3.880154167E-2,-7.300310869E-2,-3.004372492E-1,7.474922615E-1,8.089107959E-1
4.883654171E-2,7.088378537E-2,-1.607115993E-1,3.940748531E-1,4.314483967E-1
5.887054163E-2,1.649554353E-1,-3.413092867E-2,-1.745686233E-1,2.425889943E-1
6.890554167E-2,3.255342663E-1,1.429869345E-1,-5.256038761E-1,6.345685594E-1
7.893954171E-2,3.706315017E-1,1.631221139E-1,-4.247598714E-1,5.868538851E-1
8.897354163E-2,3.941906645E-1,2.216672145E-1,-2.923683840E-1,5.385182503E-1
9.900854167E-2,6.372661069E-1,2.664017764E-1,-3.596271515E-2,6.916439216E-1
1.090425417E-1,8.849323080E-1,1.740049517E-1,2.838706255E-2,9.023240761E-1
1.190775416E-1,1.074403072E0,3.358455022E-1,-2.426009774E-2,1.125931932E0
1.291115417E-1,3.473526764E-1,4.692317471E-1,-5.163027102E-1,7.793592258E-1
1.391465417E-1,-1.025229231E0,5.777388203E-1,-1.797165704E0,2.148181019E0
1.491805416E-1,-4.794250885E-1,6.005938321E-1,-1.351129569E0,1.554384920E0
1.592145417E-1,2.301466274E-1,1.133134406E0,-4.453596121E-1,1.239074750E0
1.692495417E-1,-8.429017179E-2,1.467931941E0,-5.153958070E-1,1.558063495E0
1.792835416E-1,-7.119815361E-1,1.075724397E0,-4.738472468E-1,1.374275045E0
1.893185417E-1,-1.126210426E0,6.749174979E-1,-8.326084256E-2,1.315597173E0
1.993525417E-1,-9.689460526E-1,2.674551523E-1,5.193666512E-1,1.131428491E0
2.093871250E-1,-3.693304597E-1,-1.865726647E-1,1.229198751E0,1.296974910E0
2.194211250E-1,2.004642604E-1,-4.398459801E-1,1.397265270E0,1.478512983E0
2.294551249E-1,4.748675859E-1,-5.977216798E-1,9.742192179E-1,1.237688780E0
2.394901250E-1,1.050823444E0,-4.179121971E-1,1.034025124E0,1.532347373E0
2.495241250E-1,1.148939869E0,-1.436163872E-1,8.826658541E-1,1.455949003E0
2.595591249E-1,-1.447451922E-1,8.868471980E-2,4.063955212E-1,4.404241930E-1
2.695931250E-1,-1.154154123E0,8.911794001E-1,-2.171860546E-1,1.474259898E0
2.796271250E-1,-9.364730289E-1,1.743519255E0,-2.721644998E-1,1.997727369E0
2.896621249E-1,-7.138609774E-1,1.859941704E0,-5.211775339E-1,2.059273333E0
2.996961250E-1,-1.172118305E0,1.462442137E0,-1.006783531E0,2.127489460E0
3.097311250E-1,-1.266170988E0,1.285408327E0,-6.832342851E-1,1.929319213E0
3.197651249E-1,-7.354367647E-1,1.406534277E0,-1.054749995E-1,1.590701380E0
3.298001250E-1,-1.146179837E0,1.405380621E0,-6.038711965E-1,1.911408729E0
3.398341250E-1,-1.471735263E0,1.723564754E0,-1.248378788E0,2.587494878E0
3.498681250E-1,-1.071819480E0,1.702620613E0,-1.553692322E0,2.541982254E0
