"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.282374957E-3,-2.043455690E-3,1.988486016E-1,-2.119101119E-1,2.906042629E-1
1.131737500E-2,1.342839387E-1,2.406842601E-1,-5.618659687E-1,6.258230230E-1
2.135137504E-2,1.101628585E-1,3.383122963E-1,-7.145765305E-1,7.982547733E-1
3.138537495E-2,-4.266479373E-2,3.740224117E-1,-5.727534842E-1,6.853901099E-1
4.142037500E-2,-8.575774983E-2,3.240889442E-1,-1.628858864E-1,3.727195291E-1
5.145437503E-2,-2.472495139E-2,2.540132806E-1,2.363555664E-1,3.478477019E-1
6.148937496E-2,1.955323532E-2,2.392528617E-1,4.996656275E-1,5.543374425E-1
7.152337499E-2,5.042024821E-2,2.449632525E-1,5.415433860E-1,5.965051847E-1
8.155837504E-2,9.602414489E-2,2.533686250E-1,3.761583996E-1,4.635854162E-1
9.159237496E-2,1.083315106E-1,2.332673594E-1,8.945128977E-2,2.723066477E-1
1.016263750E-1,6.780650541E-2,2.040605173E-1,-1.793498915E-1,2.800085721E-1
1.116613750E-1,-4.070553795E-2,2.149550495E-1,-3.180809301E-1,3.860545197E-1
1.216953750E-1,-1.618538529E-1,2.529768616E-1,-3.305319911E-1,4.465930579E-1
1.317303750E-1,-2.502919663E-1,2.953484175E-1,-2.459935319E-1,4.586824325E-1
1.417643750E-1,-2.825490086E-1,2.951124823E-1,-1.881084359E-1,4.497889540E-1
1.517983750E-1,-2.240204264E-1,2.862662297E-1,-1.127232081E-1,3.805785430E-1
1.618333750E-1,-1.162844548E-1,3.090940520E-1,-8.804444969E-2,3.417792161E-1
1.718673750E-1,-4.396638393E-2,2.931934261E-1,-1.078162247E-1,3.154675361E-1
1.819023750E-1,-2.876128435E-2,3.171404055E-1,-1.548424566E-1,3.540924097E-1
1.919363750E-1,-8.894813687E-2,3.235638642E-1,-7.387840033E-2,3.436034973E-1
2.019703750E-1,-7.840589941E-2,2.684541491E-1,-6.674830556E-2,2.875246972E-1
2.120053750E-1,-9.630868502E-2,2.015944541E-1,-6.682899714E-2,2.331990600E-1
2.220393750E-1,-1.004700753E-1,7.855120271E-2,-9.658430815E-2,1.599782987E-1
2.320743750E-1,-1.490391681E-1,2.977168322E-2,-1.230371118E-1,1.955432372E-1
2.421083750E-1,-2.564563204E-1,6.530404329E-2,-6.580047190E-2,2.726979362E-1
2.521433750E-1,-2.787227368E-1,1.038833874E-1,4.304895580E-2,3.005517174E-1
2.621773750E-1,-2.171130375E-1,1.342093867E-1,1.202146608E-1,2.821379010E-1
2.722113749E-1,-1.105921172E-1,1.759465197E-1,1.181657964E-1,2.390626479E-1
2.822463750E-1,-3.085524537E-2,2.611199865E-1,8.284335136E-2,2.756786433E-1
2.922803750E-1,-4.476628304E-3,3.010626090E-1,4.745366335E-2,3.048123765E-1
3.023153750E-1,9.896047041E-3,3.062023115E-1,2.358708322E-2,3.072688364E-1
3.123493750E-1,3.264493190E-2,2.680071294E-1,8.442268431E-2,2.828793075E-1
3.223833750E-1,6.148749255E-2,2.237404910E-1,1.610527843E-1,2.824509132E-1
3.324183750E-1,1.160260809E-1,1.736155272E-1,1.536028469E-1,2.592262280E-1
3.424523750E-1,7.707353823E-2,1.385611770E-1,5.823885262E-2,1.689120896E-1
3.524873750E-1,3.148820646E-2,1.899780831E-1,-1.122063142E-1,2.228753825E-1
3.625213749E-1,9.336855881E-2,2.760815495E-1,-3.119144565E-1,4.268832837E-1
3.725563750E-1,2.037466680E-1,3.505630901E-1,-4.624176943E-1,6.150100072E-1
3.825903750E-1,2.234291267E-1,3.136276907E-1,-5.935982233E-1,7.075604241E-1
3.926243749E-1,1.559183443E-1,3.264772394E-1,-6.334271175E-1,7.294709255E-1
4.026593750E-1,1.200196561E-1,4.177803424E-1,-6.333774161E-1,7.681875315E-1
4.126933750E-1,-9.411532134E-2,3.776801375E-1,-5.468111426E-1,6.711947598E-1
4.227283749E-1,-2.101337278E-1,2.576888403E-1,-5.270235801E-1,6.231481172E-1
4.327623750E-1,-1.701024469E-1,1.847369313E-1,-5.856822628E-1,6.372490009E-1
4.427963750E-1,-4.009830460E-2,2.432520649E-1,-7.512216157E-1,7.906411050E-1
4.528313749E-1,2.099015933E-1,2.132155028E-1,-1.037275007E0,1.079564250E0
4.628653750E-1,1.560474215E-1,-5.165225655E-2,-1.359342569E0,1.369244672E0
4.729003750E-1,-1.233902836E-1,-1.798571375E-1,-1.487898867E0,1.503800782E0
4.829343749E-1,-4.653474417E-1,-8.741777435E-2,-1.254035384E0,1.340445767E0
4.929683750E-1,-8.753936720E-1,3.354401439E-2,-6.729566342E-1,1.104676384E0
5.030033750E-1,-1.062998370E0,1.118655677E-1,-2.413730621E-2,1.069140800E0
5.130373749E-1,-8.718834423E-1,8.972260058E-3,4.061236256E-1,9.618719445E-1
5.230723750E-1,-6.030518554E-1,-1.653548732E-2,5.100993991E-1,7.900293410E-1
5.331063750E-1,-4.502402830E-1,2.272606610E-1,3.680424643E-1,6.243548478E-1
5.431413749E-1,-4.171799795E-1,3.468993710E-1,-1.213390803E-1,5.559689572E-1
5.531753750E-1,-4.531969276E-1,3.088066614E-1,-6.775619012E-1,8.716875239E-1
5.632093750E-1,-7.638008769E-1,3.961130463E-1,-8.488689476E-1,1.208666958E0
5.732443749E-1,-1.200747807E0,5.220986896E-1,-6.758995378E-1,1.473506880E0
5.832783750E-1,-1.484059439E0,5.949385513E-1,-4.209018785E-1,1.653342883E0
5.933133750E-1,-1.531094296E0,5.526719530E-1,-2.562711829E-1,1.647838265E0
6.033473751E-1,-1.467796724E0,3.689853278E-1,-2.887355089E-3,1.513468114E0
6.133813750E-1,-1.227712681E0,3.804281826E-1,1.945438814E-1,1.299942826E0
6.234163750E-1,-8.743207079E-1,4.606459149E-1,6.175314617E-1,1.165322473E0
6.334503751E-1,-7.892865510E-1,5.045008363E-1,8.932171547E-1,1.294345873E0
6.434853750E-1,-4.590729408E-1,4.510654713E-1,6.724660528E-1,9.308161024E-1
6.535193750E-1,-3.269888708E-1,3.330233435E-1,2.590538728E-1,5.337931978E-1
6.635543749E-1,-5.669507074E-1,4.191031288E-1,-6.735758543E-2,7.082496604E-1
6.735883750E-1,-8.477581228E-1,6.954412980E-1,-2.367245257E-2,1.096764705E0
6.836223750E-1,-8.993355350E-1,8.336043526E-1,2.411859512E-2,1.226491878E0
6.936573751E-1,-7.994425799E-1,7.777200276E-1,1.103387135E-1,1.120772730E0
7.036913750E-1,-6.400134212E-1,5.881949575E-1,1.852760446E-1,8.887731432E-1
7.137263750E-1,-6.036710756E-1,9.099083242E-1,6.362133157E-1,1.263771858E0
7.237603751E-1,-1.171504274E-2,6.590221345E-1,8.621894896E-1,1.085273298E0
7.337943750E-1,7.106511484E-1,6.653787889E-2,7.793250883E-1,1.056787555E0
7.438293750E-1,8.898237231E-1,-1.633853848E-1,6.282587636E-1,1.101449098E0
7.538633751E-1,6.869934601E-1,-4.289429694E-2,6.378055125E-1,9.384006643E-1
7.638983750E-1,3.958705330E-1,8.265375540E-2,7.317281681E-1,8.360449953E-1
7.739323750E-1,8.402478129E-2,8.184976324E-2,7.331192207E-1,7.424441659E-1
7.839663750E-1,-1.764553736E-1,4.485399127E-3,6.056551820E-1,6.308524528E-1
7.940013750E-1,-1.126803772E-1,-2.701684065E-1,1.709854496E-1,3.390042172E-1
8.040353750E-1,6.024035454E-2,-4.760155405E-1,-3.395595074E-1,5.878097942E-1
8.140703751E-1,-1.388488600E-1,-3.049322963E-1,-6.463120419E-1,7.279986035E-1
8.241043750E-1,-4.274507600E-1,-5.870136738E-2,-8.382773012E-1,9.427984071E-1
8.341393750E-1,-3.897378270E-1,9.447492510E-2,-9.680580068E-1,1.047834619E0
8.441726250E-1,-1.414387380E-1,1.996096167E-1,-9.421934330E-1,9.734358638E-1
8.542066250E-1,1.583648193E-1,3.020883568E-1,-5.974456912E-1,6.879521388E-1
8.642416249E-1,4.203632037E-1,2.384251884E-1,-1.488110536E-1,5.056644373E-1
8.742756250E-1,6.813608372E-1,1.895725787E-1,6.155773222E-2,7.099152819E-1
8.843106250E-1,8.283995998E-1,8.093862087E-2,4.256451398E-1,9.348640234E-1
8.943446249E-1,9.856949633E-1,-2.400417973E-1,8.437748533E-1,1.319534247E0
9.043786250E-1,1.052848189E0,-8.080112359E-1,1.110999625E0,1.730806642E0
9.144136250E-1,9.188107100E-1,-1.155055472E0,1.032934619E0,1.801477224E0
9.244476249E-1,5.762195675E-1,-1.206801430E0,7.949517721E-1,1.555746445E0
9.344826250E-1,3.557193111E-1,-1.142598417E0,6.391310763E-1,1.356670890E0
9.445166250E-1,2.970433791E-1,-1.103129712E0,6.046149623E-1,1.292551423E0
9.545516249E-1,2.714132787E-1,-1.017975833E0,6.188365602E-1,1.221842319E0
9.645856250E-1,3.746965957E-1,-8.743499440E-1,6.273354882E-1,1.139488999E0
9.746196250E-1,5.403049457E-1,-7.270208672E-1,7.360030675E-1,1.167128652E0
9.846546249E-1,6.595125698E-1,-5.274786396E-1,6.605798328E-1,1.072173615E0
9.946886250E-1,6.466117117E-1,-2.713827270E-1,3.455721992E-1,7.817771006E-1
1.004723625E0,4.682804051E-1,2.086257309E-2,-9.831859231E-2,4.789450181E-1
1.014757625E0,2.618565895E-1,1.832270341E-1,-6.224992561E-1,6.997473425E-1
1.024791625E0,1.630120401E-1,2.396688911E-1,-1.061635092E0,1.100492240E0
1.034826625E0,8.483052760E-2,2.902508149E-1,-1.112566679E0,1.152929473E0
1.044860625E0,-3.346054539E-2,4.190755007E-1,-9.606513387E-1,1.048615696E0
1.054895625E0,-1.194711873E-1,5.422900754E-1,-7.557426828E-1,9.378160231E-1
1.064929625E0,-4.484638989E-2,5.355111060E-1,-5.120874524E-1,7.423051274E-1
1.074964625E0,9.704448402E-2,3.993632211E-1,-3.222067255E-1,5.222315465E-1
1.084998625E0,1.632054368E-1,3.015350640E-1,5.381367981E-2,3.470667393E-1
1.095032625E0,7.335609779E-2,2.216631214E-1,3.996355551E-1,4.628436382E-1
1.105067625E0,7.712185085E-2,3.727000639E-2,5.228358042E-1,5.298057299E-1
1.115101625E0,2.687408088E-1,-1.450321443E-1,5.134884453E-1,5.974331165E-1
1.125136625E0,4.052935403E-1,-1.315791629E-1,4.343428731E-1,6.084650042E-1
1.135170625E0,4.139897387E-1,-2.450758114E-2,3.029483360E-1,5.135813660E-1
1.145204625E0,3.391191389E-1,7.089178875E-2,4.295247674E-2,3.491022076E-1
1.155239625E0,2.344957864E-1,1.540386106E-1,-2.462589955E-1,3.733090680E-1
1.165273625E0,1.707811625E-1,1.588309886E-1,-4.150926697E-1,4.761254171E-1
1.175308625E0,1.842778518E-1,1.302791807E-1,-4.792056352E-1,5.296876744E-1
1.185342625E0,1.640702400E-1,1.025984618E-1,-4.432247937E-1,4.836255842E-1
1.195376625E0,1.925742468E-1,3.656497836E-2,-3.169530022E-1,3.726674708E-1
1.205411625E0,1.461678198E-1,4.858626902E-2,-2.090473151E-1,2.596660106E-1
1.215445625E0,-9.412964702E-2,1.866121334E-1,-1.481245905E-1,2.561744973E-1
1.225480625E0,-8.653192118E-2,2.689469232E-1,-1.843504304E-1,3.373504143E-1
1.235514625E0,4.202817813E-2,2.601803389E-1,-3.304682565E-1,4.226930861E-1
1.245549625E0,2.027507409E-1,1.695061040E-1,-4.783829319E-1,5.465257650E-1
1.255583625E0,2.997426000E-1,3.443849221E-2,-5.396880645E-1,6.182999619E-1
1.265617625E0,3.122910172E-1,-5.928579658E-2,-4.883881027E-1,5.827207083E-1
1.275652625E0,2.767925709E-1,-1.462900266E-1,-3.388560873E-1,4.613440659E-1
1.285686625E0,2.128827962E-1,-2.514834827E-1,-8.222939372E-2,3.395949060E-1
1.295721625E0,1.076430009E-1,-3.192269844E-1,6.566598594E-2,3.432271914E-1
1.305755625E0,-2.426536024E-2,-3.258360922E-1,1.098849696E-1,3.447211529E-1
1.315789625E0,4.234261215E-2,-3.197251672E-1,1.959922367E-1,3.773990410E-1
