"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.217750054E-3,8.913641721E-3,-8.482965052E-2,-7.874878013E-1,7.920937822E-1
1.325175003E-2,-8.071832702E-2,-3.329042065E-1,-1.139395459E0,1.189774210E0
2.328675002E-2,-3.713525730E-1,4.128373986E-1,-1.301541088E0,1.415042987E0
3.332075005E-2,-5.671793336E-1,8.821296644E-1,-1.075625140E0,1.502269810E0
4.335575004E-2,-1.633859695E-1,7.306376624E-1,-1.763843592E0,1.916160376E0
5.338975001E-2,2.097492734E-1,1.387518547E0,-2.158259922E0,2.574352029E0
6.342375005E-2,6.250713001E-1,1.796497368E0,-2.029264498E0,2.781372202E0
7.345875003E-2,6.741417186E-1,1.914088383E0,-2.127584844E0,2.940207248E0
8.349275001E-2,3.998789455E-1,1.861739430E0,-2.255976251E0,2.952186601E0
9.352675005E-2,2.957053900E-2,1.633900334E0,-2.340412384E0,2.854476282E0
1.035617500E-1,4.018227062E-1,1.825432899E0,-2.518287608E0,3.136150384E0
1.135957500E-1,1.001661955E0,1.970933844E0,-3.150138316E0,3.848542360E0
1.236307501E-1,1.167115792E0,1.806167493E0,-3.504435731E0,4.111626208E0
1.336647500E-1,1.322073878E0,2.052869707E0,-3.681803416E0,4.417898796E0
1.436987500E-1,1.444153508E0,2.310534866E0,-3.614308421E0,4.526298276E0
1.537337500E-1,1.434824568E0,2.483977024E0,-3.169299642E0,4.274730824E0
1.637677500E-1,1.086285637E0,2.425220985E0,-1.970732700E0,3.308398508E0
1.738017500E-1,1.108963040E0,2.562953027E0,-9.133941418E-1,2.938165431E0
1.838367500E-1,9.095260625E-1,2.638582376E0,-1.576210535E-1,2.795388883E0
1.938707500E-1,4.055405121E-1,2.569973486E0,3.994882053E-1,2.632264738E0
2.039047500E-1,1.279744276E-1,2.780232344E0,-5.499130905E-2,2.783719344E0
2.139397500E-1,-6.430184515E-1,2.080175912E0,-1.234589884E0,2.502961593E0
2.239737500E-1,-1.249488004E0,1.117115521E0,-1.469263206E0,2.228879030E0
2.340087500E-1,5.214049906E-2,9.306600925E-1,-1.266243786E0,1.572329534E0
2.440427500E-1,1.092686731E0,-8.534859091E-2,-9.125632524E-2,1.099807433E0
2.540767500E-1,1.148603800E0,-2.477561751E-1,2.060126687E0,2.371665191E0
2.641117500E-1,1.149382503E0,-7.080697489E-1,3.844037338E0,4.074195131E0
2.741457500E-1,9.901063952E-1,-1.152475680E0,5.034602365E0,5.258871727E0
