"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.316708317E-3,-4.950001341E-1,-1.143137604E-1,-4.580708742E-2,5.100892646E-1
1.335170833E-2,-2.623657358E-1,-3.433582241E-1,-7.474963546E-2,4.385409415E-1
2.338670832E-2,-1.153418836E-1,-3.940152846E-1,-1.005253315E-2,4.106736515E-1
3.342170833E-2,-6.574229211E-2,-3.263090589E-1,1.318313241E-2,3.331267715E-1
4.345570834E-2,-6.177407920E-2,-1.675807621E-1,-9.998621821E-2,2.046865714E-1
5.349070832E-2,6.881295741E-3,-5.921658017E-3,-2.097489810E-1,2.099453579E-1
6.352570833E-2,1.506412321E-1,5.360676147E-2,-3.477456093E-1,3.827446596E-1
7.356070832E-2,2.648300448E-1,1.357690584E-2,-4.549402750E-1,5.265832686E-1
8.359570833E-2,2.987748858E-1,-1.172387934E-1,-4.767258310E-1,5.746989517E-1
9.363070832E-2,3.533074808E-1,-2.946981340E-1,-3.320896894E-1,5.674123086E-1
1.036657083E-1,4.372647268E-1,-4.290659802E-1,-1.038377792E-1,6.213536361E-1
1.136997083E-1,4.003769821E-1,-4.684645924E-1,1.041938746E-1,6.249937325E-1
1.237347083E-1,2.458955911E-1,-4.024148098E-1,2.837911034E-1,5.503995923E-1
1.337697083E-1,9.407059014E-2,-2.443573348E-1,4.635327584E-1,5.323743054E-1
1.438047083E-1,-3.715320826E-2,-6.562476307E-2,5.595405310E-1,5.645994831E-1
1.538397083E-1,-1.071791705E-1,8.236914217E-2,5.180937123E-1,5.354373399E-1
1.638747083E-1,-1.435760415E-1,1.901867556E-1,3.966031891E-1,4.626869042E-1
1.739097083E-1,-1.695458651E-1,2.475961076E-1,2.105839634E-1,3.665995615E-1
1.839437083E-1,-1.588568625E-1,2.497424012E-1,5.577074289E-2,3.011928709E-1
1.939787083E-1,-1.240767467E-1,2.372458050E-1,1.480105698E-2,2.681411612E-1
2.040137083E-1,-5.038633436E-2,2.394162183E-1,-1.013000876E-1,2.648029759E-1
2.140487083E-1,-2.179432690E-2,2.209360202E-1,-1.053644872E-1,2.457425337E-1
2.240837083E-1,1.285919666E-2,1.730229849E-1,-2.987050116E-2,1.760527168E-1
2.341187083E-1,1.062819153E-1,1.210513973E-1,8.942146897E-3,1.613358246E-1
2.441527083E-1,2.211077821E-1,8.834521584E-2,2.260124266E-2,2.391742976E-1
2.541877083E-1,2.101927847E-1,5.263071500E-2,4.323021948E-2,2.209521459E-1
2.642227083E-1,8.825056404E-2,2.260562807E-2,-1.153772593E-2,9.182753178E-2
2.742577083E-1,1.152632385E-2,1.005918436E-2,-3.415124774E-2,3.742126473E-2
2.842927083E-1,2.649344176E-2,1.878260884E-2,-4.503233135E-2,5.552116459E-2
2.943277083E-1,4.964929283E-2,1.267161068E-2,-7.163716257E-2,8.807669985E-2
3.043627083E-1,5.246238828E-2,2.328361273E-3,-2.317602396E-2,5.740079735E-2
3.143967083E-1,3.803467602E-2,-4.580343291E-3,3.032658398E-2,4.886018645E-2
3.244317083E-1,4.593748033E-2,4.955076724E-3,5.279626429E-2,7.015875147E-2
3.344667083E-1,1.173857778E-1,3.417368643E-2,7.141613781E-2,1.415892878E-1
3.445017083E-1,2.220553234E-1,5.876334786E-2,1.450635731E-1,2.716710105E-1
3.545367083E-1,3.525306782E-1,7.993056089E-2,2.684754914E-1,4.502730984E-1
3.645717083E-1,5.055830097E-1,6.605358325E-2,2.879168987E-1,5.855539225E-1
3.746057083E-1,5.665051496E-1,2.515888788E-2,1.756895345E-1,5.936563541E-1
3.846407083E-1,4.811162129E-1,-4.314700630E-2,-3.724617898E-2,4.844809102E-1
3.946757083E-1,2.433982453E-1,-9.623409647E-2,-2.013096946E-1,3.301958514E-1
4.047107083E-1,1.743493527E-2,-9.388391778E-2,-2.252172053E-1,2.446241128E-1
4.147457083E-1,-1.292410076E-1,-5.810093142E-2,-1.313699788E-1,1.932279162E-1
4.247807083E-1,-1.983366778E-1,-1.033071443E-2,-6.220735788E-2,2.081199578E-1
4.348157083E-1,-2.414327037E-1,2.062174089E-2,-3.124752045E-2,2.443182641E-1
4.448497083E-1,-2.717820919E-1,2.345727503E-2,1.198562264E-2,2.730556800E-1
4.548847083E-1,-3.323566148E-1,-9.408900887E-3,2.264860511E-2,3.332602678E-1
4.649197083E-1,-3.874119508E-1,-5.243359074E-2,-4.497093558E-3,3.909699796E-1
4.749547083E-1,-3.894748485E-1,-7.678475887E-2,-2.787309229E-2,3.979490747E-1
4.849897083E-1,-3.391765147E-1,-5.140828148E-2,-6.893867254E-4,3.430510091E-1
4.950247083E-1,-2.853657585E-1,-7.252703570E-3,-3.947455287E-3,2.854852015E-1
5.050587083E-1,-2.469735253E-1,3.197359845E-2,-6.685706377E-2,2.578528653E-1
5.150937083E-1,-2.037020829E-1,4.851303264E-2,-1.215560120E-1,2.421237638E-1
5.251287083E-1,-1.622812843E-1,3.709860988E-2,-1.554470587E-1,2.277615203E-1
5.351637083E-1,-1.711462480E-1,4.125503004E-3,-1.285083514E-1,2.140618003E-1
5.451987083E-1,-2.178500059E-1,-2.428582549E-2,-9.778006375E-2,2.400195143E-1
5.552337083E-1,-2.513653690E-1,-4.992484286E-2,-1.122852516E-1,2.797945968E-1
5.652687083E-1,-2.783561164E-1,-7.397824153E-2,-1.792417181E-1,3.392381188E-1
5.753027083E-1,-2.410125813E-1,-8.469355658E-2,-2.571938735E-1,3.625034503E-1
5.853377083E-1,-9.832093120E-2,-7.219834909E-2,-1.470258987E-1,1.910398440E-1
5.953731250E-1,1.296231231E-1,-3.919549450E-2,1.625128341E-1,2.115392684E-1
6.054081250E-1,3.844345486E-1,5.609707234E-2,1.704849279E-1,4.242663248E-1
6.154431250E-1,5.320445842E-1,1.470323306E-1,3.111303449E-3,5.519960380E-1
